dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
accelerometer,/home/crc00006699/zh/tabiclv2/data184/accelerometer,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"ValueError: could not broadcast input array from shape (4,) into shape (3,)",0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,,,,,,,,True
ada_agnostic,/home/crc00006699/zh/tabiclv2/data184/ada_agnostic,binclass,3649,730,913,48,2,0.836801752464403,0.8335068151024891,0.7631805396796856,0.8944015617574909,0.33973438229288355,17.907619953155518,1.173602819442749,ok,,3649,2919,0,913,,30,1e-05,True,17.907175540924072,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8534246575342466,0.8534246575342466,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.8080443879495482,3.4385746238594423,,True
adult,/home/crc00006699/zh/tabiclv2/data184/adult,binclass,32561,6513,16281,14,2,0.8622934709170198,0.8577078885253319,0.7800958431582137,0.9178155529920432,0.29687049305910307,223.47806668281555,9.849149942398071,ok,,32561,26048,0,16281,,90,1e-05,True,223.4775538444519,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,27,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8595117457392907,0.8607400583448488,,,2,True,False,,f_mmd,test,standardized_l2,0.05,4.347233500596405,3.4134298378329455,,True
allbp,/home/crc00006699/zh/tabiclv2/data184/allbp,multiclass,3017,604,755,29,3,0.976158940397351,0.9725174124667697,0.5319482917820868,0.9841500350928104,0.06658275280687179,26.556816816329956,0.8057296276092529,ok,,3017,2413,0,755,,30,1e-05,True,26.556366443634033,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9784768211920529,0.9834437086092715,,,5,True,False,,f_mmd,test,standardized_l2,0.05,5.2121732834516035,4.3593627371452275,,True
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data184/analcatdata_authorship,multiclass,672,135,169,69,4,0.9881656804733728,0.9881656804733728,0.9918564618644068,0.9999242768178149,0.010911823664274263,8.451270818710327,0.4707469940185547,ok,,672,537,0,169,,30,1e-05,True,8.450824975967407,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.148679396514,0.4050333414709074,,True
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data184/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.708,0.6791069067976473,0.5122387497646393,0.7544498052025124,0.7200210329382748,26.58203434944153,1.78739595413208,ok,,2000,1600,0,500,,30,1e-05,True,26.581578969955444,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.6975,0.705,,,7,True,False,,f_mmd,test,standardized_l2,0.05,1.4417659751816563,0.03469191153917211,,True
bank,/home/crc00006699/zh/tabiclv2/data184/bank,binclass,36168,7234,9043,16,2,0.9117549485790114,0.908539973737917,0.7532445641816592,0.9426390810747468,0.1857747063876374,343.99277544021606,9.675572872161865,ok,,36168,28934,0,9043,,90,1e-05,True,343.99218368530273,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,29,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9185789328172519,0.9196848216754216,,,6,True,False,,f_mmd,test,standardized_l2,0.05,4.6821885860092225,3.3220753358579063,,True
baseball,/home/crc00006699/zh/tabiclv2/data184/baseball,multiclass,1072,215,268,16,3,0.9291044776119403,0.9137594048340916,0.49567099567099565,0.9670856224777857,0.16971274747662318,15.451329946517944,0.472445011138916,ok,,1072,857,0,268,,30,1e-05,True,15.450726509094238,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9488372093023256,0.9627906976744186,,,7,True,False,,f_mmd,test,standardized_l2,0.05,5.656968063095402,2.5114520624707213,,True
churn,/home/crc00006699/zh/tabiclv2/data184/churn,binclass,4000,800,1000,20,2,0.967,0.9659884683832753,0.9037269132010667,0.9401580264037848,0.12473402454540251,28.42107391357422,0.8046526908874512,ok,,4000,3200,0,1000,,30,1e-05,True,28.42044711112976,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.975,0.97625,,,3,True,False,,f_mmd,test,standardized_l2,0.05,2.3249219226870785,0.30424542129477905,,True
company_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data184/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9706744868035191,0.9646685865014639,0.6223484848484848,0.9643767217630854,0.07073177555564734,53.156635999679565,2.4486517906188965,ok,,5455,4364,0,1364,,30,1e-05,True,53.15615940093994,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,5,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9670027497708524,0.9688359303391384,,,3,True,False,,f_mmd,test,standardized_l2,0.05,1.5585427409916483e+38,5.8668641614501075e+38,,True
connect-4,/home/crc00006699/zh/tabiclv2/data184/connect-4,multiclass,54045,10809,13512,42,3,0.8513913558318532,0.8340999104564427,0.6653175014251852,0.9354396926085453,0.3795222505180411,864.8794975280762,22.66412353515625,ok,,54045,43236,0,13512,,150,1e-05,True,864.8790082931519,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,44,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8473494310296975,0.8570635581459894,,,10,True,False,,f_mmd,test,standardized_l2,0.05,5.805324342780961,4.714958394215546,,True
credit,/home/crc00006699/zh/tabiclv2/data184/credit,binclass,13371,2675,3343,10,2,0.7717618905174992,0.7717581735016498,0.7717607068511821,0.8553050346610773,0.4791479846141785,59.77701163291931,2.053757667541504,ok,,13371,10696,0,3343,,60,1e-05,True,59.77632451057434,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,11,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7805607476635514,0.7805607476635514,,,0,True,False,,f_mmd,test,standardized_l2,0.05,5203055.349811814,10135130.805941597,,True
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data184/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.9581536803202957,0.9581716370899667,0.9582277159293187,0.9945122257123009,0.09160220030854947,640.0990128517151,31.111766576766968,ok,,103904,83123,0,25976,,270,1e-05,True,640.0984559059143,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,84,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9626581973918483,0.9626581973918483,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.0056277643550016,2.8212292224777524,,True
default_of_credit_card_clients,/home/crc00006699/zh/tabiclv2/data184/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.826,0.8046064625922998,0.6630180496240085,0.8011229028017903,0.41449561586400896,156.74569845199585,5.413750886917114,ok,,24000,19200,0,6000,,60,1e-05,True,156.7451069355011,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,20,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8216666666666667,0.821875,,,2,True,False,,f_mmd,test,standardized_l2,0.05,7.188329023914887,7.452503596171722,,True
dis,/home/crc00006699/zh/tabiclv2/data184/dis,binclass,3017,604,755,29,2,0.9894039735099338,0.9876592747782137,0.7076603858232391,0.993606998654105,0.029857000430897694,36.97448921203613,0.8096280097961426,ok,,3017,2413,0,755,,30,1e-05,True,36.97403383255005,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9850993377483444,0.9933774834437086,,,11,True,False,,f_mmd,test,standardized_l2,0.05,5.093189501472318,3.82999816817277,,True
drug_consumption,/home/crc00006699/zh/tabiclv2/data184/drug_consumption,multiclass,1507,302,377,12,7,0.40318302387267907,0.23169686059980046,0.14285714285714285,0.523294137855023,1.5120608144382912,8.438199758529663,0.49012327194213867,ok,,1507,1205,0,377,,30,1e-05,True,8.437826156616211,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.40397350993377484,0.40397350993377484,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.0060375948929003,2.1932353050659934,,True
eeg-eye-state,/home/crc00006699/zh/tabiclv2/data184/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9929906542056075,0.9929894266832973,0.9927445121690358,0.9997901463346535,0.017454217308120173,80.59102535247803,1.9124698638916016,ok,,11984,9587,0,2996,,30,1e-05,True,80.5906150341034,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,10,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9937421777221527,0.9945765540258656,,,4,True,False,,f_mmd,test,standardized_l2,0.05,89385556.37525813,39347945.6560421,,True
estimation_of_obesity_levels,/home/crc00006699/zh/tabiclv2/data184/estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9929078014184397,0.9929066416706415,0.9926929392446634,0.9999662595316823,0.018447935525691992,18.76777148246765,0.4659385681152344,ok,,1688,1350,0,423,,30,1e-05,True,18.767295837402344,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9792899408284024,0.9881656804733728,,,10,True,False,,f_mmd,test,standardized_l2,0.05,3.7695767221365233,0.9287427487840612,,True
