dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0054_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0054_seed42,multiclass,3592,0,850,75,3,0.9423529411764706,0.9188437798157992,0.6918238993710691,0.9313221220352792,0.1737448171894809,19.41735863685608,1.6975555419921875,ok,,3592,3592,0,850,,30,1e-05,True,19.416983366012573,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9387186629526464,0.9415041782729804,,,3,True,False,,f_mmd,test,standardized_l2,0.05,3.1913352713992684,0.6352479877325331,,True
stage2_graph_scm_0055_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0055_seed42,multiclass,3451,0,838,34,3,0.8568019093078759,0.8222838784174167,0.5383292605665672,0.8579474673012549,0.4229134082802806,16.503740310668945,1.000216722488403,ok,,3451,3451,0,838,,30,1e-05,True,16.503371715545654,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8579710144927536,0.8608695652173913,,,5,True,False,,f_mmd,test,standardized_l2,0.05,5.837199901402155,2.703558086636697,,True
stage2_graph_scm_0056_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0056_seed42,binclass,830,0,218,74,2,1.0,1.0,1.0,1.0,1.3822919219122604e-05,10.109442949295044,0.5149326324462891,ok,,830,830,0,218,,30,1e-05,True,10.1090087890625,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.4195526283524664,0.1466331660593017,,True
stage2_graph_scm_0057_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0057_seed42,multiclass,2853,0,702,92,3,0.8376068376068376,0.8383685261333995,0.8367431875583659,0.9564047284389336,0.4024506623332451,46.336864709854126,1.849886417388916,ok,,2853,2853,0,702,,30,1e-05,True,46.33649754524231,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7684210526315789,0.8105263157894737,,,16,True,False,,f_mmd,test,standardized_l2,0.05,1.7470759910715186,0.132884576749882,,True
stage2_graph_scm_0058_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0058_seed42,multiclass,2420,0,621,92,10,0.6650563607085346,0.6651794708897494,0.6606372215709915,0.9597143725042276,0.7968607924772041,25.955219507217407,1.695468187332153,ok,,2420,2420,0,621,,30,1e-05,True,25.954838275909424,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6570247933884298,0.6735537190082644,,,8,True,False,,f_mmd,test,standardized_l2,0.05,5.018115758619502,1.7835910371029993,,True
stage2_graph_scm_0059_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0059_seed42,binclass,5235,0,1392,16,2,0.8484195402298851,0.8488160178132502,0.8351278323835953,0.9232480813161384,0.3330965595668955,14.009037733078005,1.014281988143921,ok,,5235,5235,0,1392,,30,1e-05,True,14.008667469024658,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8527724665391969,0.864244741873805,,,3,True,False,,f_mmd,test,standardized_l2,0.05,1.830194846059893,0.1224299935751,,True
stage2_graph_scm_0060_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0060_seed42,binclass,5147,0,1305,13,2,0.7425287356321839,0.6328147272010434,0.5,0.6107440783330876,0.5567759348123427,9.811344146728516,0.923297882080078,ok,,5147,5147,0,1305,,30,1e-05,True,9.81091284751892,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7354085603112841,0.7354085603112841,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.5944282476242115,0.649083278806181,,True
stage2_graph_scm_0061_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0061_seed42,multiclass,3216,0,819,86,7,0.927960927960928,0.9274321342412652,0.8490420876209874,0.9950641597318144,0.1764919187268372,36.05227994918823,1.7866783142089844,ok,,3216,3216,0,819,,30,1e-05,True,36.051838397979736,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.940809968847352,0.9595015576323987,,,13,True,False,,f_mmd,test,standardized_l2,0.05,8.049744448602898,3.6522849598801415,,True
stage2_graph_scm_0062_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0062_seed42,multiclass,1146,0,283,91,4,0.6360424028268551,0.5998035875127437,0.3910459208129613,0.7769795170366011,0.7795233025670284,14.93025016784668,0.5245094299316406,ok,,1146,1146,0,283,,30,1e-05,True,14.92979645729065,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6228070175438597,0.6578947368421053,,,4,True,False,,f_mmd,test,standardized_l2,0.05,7.99404802667392,5.209142171539187,,True
stage2_graph_scm_0063_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0063_seed42,binclass,1962,0,481,71,2,0.8004158004158004,0.7155538584110013,0.503909632034632,0.643262987012987,0.4789440174256604,10.137208700180054,1.2930908203125,ok,,1962,1962,0,481,,30,1e-05,True,10.136852264404297,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8214285714285714,0.8214285714285714,,,0,True,False,,f_mmd,test,standardized_l2,0.05,6.435598131154049,2.560758460763053,,True
stage2_graph_scm_0064_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0064_seed42,multiclass,2450,0,632,63,8,0.9556962025316456,0.9554815704498236,0.9627539054344088,0.9981893209738546,0.1389991087515078,19.517078638076782,1.256788730621338,ok,,2450,2450,0,632,,30,1e-05,True,19.5166335105896,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9673469387755104,0.9755102040816328,,,6,True,False,,f_mmd,test,standardized_l2,0.05,2.556753363225166,0.263287477405403,,True
stage2_graph_scm_0065_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0065_seed42,multiclass,1230,0,303,16,6,0.5742574257425742,0.5277892874988643,0.4316026933573184,0.8504287743138818,1.02732408387857,18.087611198425293,0.4411647319793701,ok,,1230,1230,0,303,,30,1e-05,True,18.087237119674683,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.5853658536585366,0.6097560975609756,,,11,True,False,,f_mmd,test,standardized_l2,0.05,2.640212386477547,0.5693033663980783,,True
