dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0087_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0087_seed42,binclass,508,0,124,99,2,0.7983870967741935,0.799851985988435,0.6943434343434344,0.8501010101010101,0.404307297968352,9.297764301300049,0.5017430782318115,ok,,508,508,0,124,,30,1e-05,True,9.297399759292603,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.78,0.78,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.6899437539726114,0.07023896113343683,,True
stage2_graph_scm_0088_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0088_seed42,multiclass,2739,0,699,17,7,0.9313304721030042,0.9295634628622169,0.842733397444913,0.9956384533215749,0.16386305447543825,14.336853742599487,0.6547403335571289,ok,,2739,2739,0,699,,30,1e-05,True,14.336420774459839,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9157509157509157,0.9304029304029304,,,6,True,False,,f_mmd,test,standardized_l2,0.05,3.487686973763283,1.0384808100653555,,True
stage2_graph_scm_0089_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0089_seed42,multiclass,7230,0,1796,2,4,0.5534521158129176,0.41190014291763843,0.47096774193548385,0.8189188088275237,0.7695682682033306,10.82399606704712,1.069509506225586,ok,,7230,7230,0,1796,,30,1e-05,True,10.823615550994873,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.5656984785615491,0.5656984785615491,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.5762146130276378,0.0,,True
stage2_graph_scm_0090_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0090_seed42,multiclass,3939,0,1019,67,8,0.40333660451422965,0.3889687631053686,0.4073041969405711,0.8345759955071903,1.4448701551794207,14.168443202972412,1.651230812072754,ok,,3939,3939,0,1019,,30,1e-05,True,14.168076515197754,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.42493638676844786,0.42493638676844786,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.6861842410249253,0.11147185341275745,,True
stage2_graph_scm_0091_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0091_seed42,multiclass,926,0,227,96,4,0.9779735682819384,0.9779541912042369,0.9699228089405099,0.9988625426912732,0.08079440120132403,23.605894804000854,0.4662361145019531,ok,,926,926,0,227,,30,1e-05,True,23.605504274368286,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9239130434782609,0.967391304347826,,,15,True,False,,f_mmd,test,standardized_l2,0.05,2.6040916535196668,0.37841252553468613,,True
stage2_graph_scm_0092_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0092_seed42,multiclass,2431,0,629,13,6,0.7885532591414944,0.7541794306015795,0.4386708529565672,0.9098875177934244,0.5451913634972196,8.680963039398193,0.6158268451690674,ok,,2431,2431,0,629,,30,1e-05,True,8.680594205856323,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7695473251028807,0.7695473251028807,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.4302099786619267,0.49547755374697805,,True
stage2_graph_scm_0093_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0093_seed42,multiclass,419,0,99,24,6,0.9191919191919192,0.9098529283427264,0.845993179880648,0.9987883942313366,0.14607761970419086,7.42145037651062,0.431105375289917,ok,,419,419,0,99,,30,1e-05,True,7.4210145473480225,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9024390243902439,0.9024390243902439,,,0,True,False,,f_mmd,test,standardized_l2,0.05,5.8239856325654,0.519736505141221,,True
stage2_graph_scm_0094_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0094_seed42,multiclass,492,0,126,51,8,0.9603174603174603,0.9603633708896867,0.9564064407814408,0.9960239148269925,0.15246183727600146,9.450793743133545,0.56512451171875,ok,,492,492,0,126,,30,1e-05,True,9.450430154800415,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9591836734693877,0.9591836734693877,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.376567840422683,0.2314005598517563,,True
stage2_graph_scm_0095_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0095_seed42,multiclass,595,0,149,89,8,0.9731543624161074,0.9732848085688097,0.9794270833333334,0.9996746794871796,0.06662794940453981,16.774621725082397,0.46578526496887207,ok,,595,595,0,149,,30,1e-05,True,16.774079084396362,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9322033898305084,0.9830508474576272,,,9,True,False,,f_mmd,test,standardized_l2,0.05,4.973082527464757,3.818944429189134,,True
stage2_graph_scm_0096_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0096_seed42,multiclass,2310,0,571,18,3,0.9702276707530648,0.9692085830325419,0.8974454160479569,0.997176876335501,0.07905709332548398,14.802915334701538,0.647193431854248,ok,,2310,2310,0,571,,30,1e-05,True,14.802472591400146,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9826839826839827,0.987012987012987,,,7,True,False,,f_mmd,test,standardized_l2,0.05,4.25490959498908,1.1700911835690642,,True
stage2_graph_scm_0097_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0097_seed42,multiclass,539,0,143,54,10,0.44755244755244755,0.4511915296286022,0.43686042199974084,0.8916405315528845,1.3240142763294975,14.568007946014404,0.43260765075683594,ok,,539,539,0,143,,30,1e-05,True,14.567580461502075,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.4716981132075472,0.5094339622641509,,,8,True,False,,f_mmd,test,standardized_l2,0.05,1.8692861323467198,0.12330976876161893,,True
stage2_graph_scm_0098_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0098_seed42,multiclass,3243,0,785,86,10,0.7503184713375797,0.7503926244164639,0.73145301944636,0.9697381865765233,0.6962320800752333,52.566874504089355,1.8339693546295166,ok,,3243,3243,0,785,,30,1e-05,True,52.566439151763916,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7098765432098766,0.7561728395061729,,,20,True,False,,f_mmd,test,standardized_l2,0.05,1.7517621715413052,0.11792294658235371,,True
stage2_graph_scm_0099_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0099_seed42,multiclass,780,0,186,82,6,0.7258064516129032,0.6688654107687224,0.7363573438246552,0.9493960316529181,0.5159163156738429,8.656054258346558,0.449857234954834,ok,,780,780,0,186,,30,1e-05,True,8.655606269836426,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7435897435897436,0.7435897435897436,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.9443216139221857,0.3125312222285057,,True
stage2_graph_scm_0100_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0100_seed42,multiclass,1206,0,292,81,3,0.9554794520547946,0.9547417140372132,0.9032559812915992,0.9896369112647868,0.14383881353372546,10.942561149597168,0.4821591377258301,ok,,1206,1206,0,292,,30,1e-05,True,10.942205905914307,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9416666666666667,0.9666666666666667,,,2,True,False,,f_mmd,test,standardized_l2,0.05,5.6211156767959505,6.626505645751861,,True
stage2_graph_scm_0101_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0101_seed42,multiclass,1434,0,338,28,3,0.9881656804733728,0.988191451290786,0.988222743013047,0.9998824557808091,0.022699441413948085,8.016521692276001,0.4588305950164795,ok,,1434,1434,0,338,,30,1e-05,True,8.016026735305786,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.993006993006993,0.993006993006993,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.8156820783819252,0.1107614894001981,,True
stage2_graph_scm_0102_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0102_seed42,multiclass,377,0,95,78,3,1.0,1.0,1.0,1.0,0.0002581302430593885,8.128037214279175,0.4467630386352539,ok,,377,377,0,95,,30,1e-05,True,8.12763786315918,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.885987453048812,0.17363432565187573,,True
stage2_graph_scm_0103_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0103_seed42,multiclass,1971,0,480,40,7,1.0,1.0,1.0,1.0,0.00034602145222004116,8.713186740875244,0.8736870288848877,ok,,1971,1971,0,480,,30,1e-05,True,8.712827205657959,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.9733650997317236,0.14760289123332948,,True
