dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data184/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9044796691936596,0.9038174122484224,0.8850725907343213,0.9635146803718772,0.2209984758955523,39.24230599403381,19.743996620178223,ok,,29020,23216,0,7255,0.3490966856479645,True,0.1,False,33,1e-05,True,38.81403088569641,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=36275>=2000,30,3,epoch_chunk,accuracy,0.9016195727084768,0.9055823569951758,0.9016195727084768,0.9055823569951758,3,True,False,,f_mmd,test,standardized_l2,3.568053129936948,9.065872231188113,,True
Insurance,/home/crc00006699/zh/tabiclv2/data184/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5050075392867521,0.5557533628160399,16.06203317642212,9.090051651000977,ok,,18838,15070,0,4710,0.5450568795204163,True,0.1,False,16,1e-05,True,15.864904642105104,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=23548>=2000,30,2,epoch_chunk,accuracy,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0,True,False,,f_mmd,test,standardized_l2,1.9074773500928224,0.364818752731467,,True
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data184/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9459090909090908,0.9459092361996636,0.9459097930412058,0.9902310093549244,0.1300629984223894,17.28882384300232,3.6945087909698486,ok,,8800,7040,0,2200,0.1315253302454948,True,0.1,False,15,1e-05,True,17.13556218147278,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=11000>=2000,30,1,epoch_chunk,accuracy,0.9517045454545454,0.9545454545454546,0.9517045454545454,0.9545454545454546,7,True,False,,f_mmd,test,standardized_l2,1.6716947204400117,0.2897891100399895,,True
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data184/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.4983606557377049,0.7395491803278689,0.325075125972632,3.0984537601470947,0.4918520450592041,ok,,1378,1102,0,345,0.3047233074903488,True,0.1,True,8,1e-05,True,3.055635690689087,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft=alpha0.1 rows=1723<2000,30,1,epoch_chunk,accuracy,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608696,0,True,False,,f_mmd,test,standardized_l2,2.21576910373175,2.0869675542387403,,True
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data184/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9994982438534872,0.999498083906782,0.9993540051679586,1.0,0.0009732406068493,7.739948272705078,3.025534152984619,ok,,7968,6374,0,1993,0.0199807798489928,True,0.1,False,8,1e-05,True,7.64010214805603,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=9961>=2000,30,1,epoch_chunk,accuracy,0.9968632371392724,0.9968632371392724,0.9968632371392724,0.9968632371392724,0,True,False,,f_mmd,test,standardized_l2,1.7900249300839832,0.3628513966778374,,True
KDD,/home/crc00006699/zh/tabiclv2/data184/KDD,binclass,4025,805,1007,45,2,0.8103277060575969,0.8096027240425338,0.8111808103523099,0.9052984574111334,0.3675161064930378,18.688191652297974,2.3519062995910645,ok,,4025,3220,0,1007,0.3535657972097397,True,0.1,False,20,1e-05,True,18.50160527229309,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=5032>=2000,30,1,epoch_chunk,accuracy,0.7987577639751553,0.808695652173913,0.7987577639751553,0.808695652173913,12,True,False,,f_mmd,test,standardized_l2,4.364438314159411,18.52608359456595,,True
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data184/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8109161793372319,0.8091752055466928,0.8109161793372319,0.9113592406400448,0.3571993028980876,9.056420803070068,2.4655234813690186,ok,,4102,3281,0,1026,0.3670314252376556,True,0.1,False,8,1e-05,True,8.849434614181519,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=5128>=2000,30,1,epoch_chunk,accuracy,0.8148599269183922,0.8148599269183922,0.8148599269183922,0.8148599269183922,0,True,False,,f_mmd,test,standardized_l2,9.203022330882346,59.42253632809636,,True
Long,/home/crc00006699/zh/tabiclv2/data184/Long,binclass,3581,717,896,19,2,0.9955357142857144,0.9955409855049664,0.9956950474648614,0.9999386758898128,0.0097970520668609,10.040634393692017,1.3219082355499268,ok,,3581,2864,0,896,0.0037994144950062,True,0.1,False,19,1e-05,True,9.969585657119753,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=4477>=2000,30,1,epoch_chunk,accuracy,0.99581589958159,0.99860529986053,0.99581589958159,0.99860529986053,11,True,False,,f_mmd,test,standardized_l2,5.9420545789832575,32.999785250221166,,True
MIC,/home/crc00006699/zh/tabiclv2/data184/MIC,binclass,1319,264,330,104,2,0.9090909090909092,0.8995772562318263,0.7459413873076113,0.8834071262913767,0.2648901848785002,14.389514446258543,1.437116622924805,ok,,1319,1055,0,330,0.2542223334312439,True,0.1,True,15,1e-05,True,14.128695726394652,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft=alpha0.1 rows=1649<2000,30,1,epoch_chunk,accuracy,0.8674242424242424,0.8787878787878788,0.8674242424242424,0.8787878787878788,7,True,False,,f_mmd,test,standardized_l2,853111850860.3,2077095071575.6345,,True
MagicTelescope,/home/crc00006699/zh/tabiclv2/data184/MagicTelescope,binclass,15216,3044,3804,9,2,0.8953732912723449,0.8938585040611262,0.8728083096025225,0.94869810893018,0.2585402768058139,23.846641063690186,6.43972373008728,ok,,15216,12172,0,3804,0.297049343585968,True,0.1,False,30,1e-05,True,23.721275568008423,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=14.6426% source=test | wise_ft_skipped rows=19020>=2000,30,2,epoch_chunk,accuracy,0.8814060446780552,0.8850197109067017,0.8814060446780552,0.8850197109067017,7,True,False,,f_mmd,test,standardized_l2,3.23731439956562,2.1649348563069304,,True
