dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0141_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0141_seed42,multiclass,1485,0,368,73,4,0.9510869565217391,0.9506445611841573,0.9257295941632466,0.9948919854241541,0.10003904212472768,9.560425996780396,0.5278458595275879,ok,,1485,1485,0,368,,30,1e-05,True,9.559970617294312,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9594594594594594,0.9594594594594594,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0142_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0142_seed42,multiclass,3119,0,762,80,4,0.9606299212598425,0.9608596694728462,0.9610330028118987,0.9935806607162794,0.13608610227378476,14.162692308425903,1.6832027435302734,ok,,3119,3119,0,762,,30,1e-05,True,14.162336111068726,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9614147909967846,0.9614147909967846,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0143_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0143_seed42,multiclass,2044,0,488,24,3,0.9897540983606558,0.989760296582463,0.9896232439335888,0.9998176191592693,0.019727650442928478,8.249231576919556,0.7374749183654785,ok,,2044,2044,0,488,,30,1e-05,True,8.248865604400635,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9950980392156863,0.9950980392156863,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0144_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0144_seed42,binclass,7084,0,1693,61,2,1.0,1.0,1.0,1.0,1.3028893629513703e-05,21.194139003753662,2.5075676441192627,ok,,7084,7084,0,1693,,30,1e-05,True,21.19372248649597,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0145_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0145_seed42,multiclass,483,0,124,56,4,0.8225806451612904,0.7425064230659435,0.25,0.7893895214825742,0.5614677798298177,8.623340606689453,0.47466158866882324,ok,,483,483,0,124,,30,1e-05,True,8.622966051101685,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8333333333333334,0.8333333333333334,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0146_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0146_seed42,multiclass,4239,0,1025,4,6,0.8653658536585366,0.868007626887945,0.8693825567355408,0.9853832914832122,0.27133212335521467,8.100193738937378,0.6420497894287109,ok,,4239,4239,0,1025,,30,1e-05,True,8.099764585494995,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8486997635933806,0.8486997635933806,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0147_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0147_seed42,multiclass,1379,0,364,61,4,0.9368131868131868,0.9375057181486415,0.9100699750327748,0.9886288910032501,0.1715875747206488,8.598620176315308,0.4559807777404785,ok,,1379,1379,0,364,,30,1e-05,True,8.598262786865234,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.948905109489051,0.948905109489051,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0148_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0148_seed42,multiclass,1223,0,325,36,8,0.6184615384615385,0.5581163924080956,0.5796286702528679,0.9009524388056497,0.9130958814857618,8.067110061645508,0.4469609260559082,ok,,1223,1223,0,325,,30,1e-05,True,8.066749811172485,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5573770491803278,0.5573770491803278,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0149_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0149_seed42,multiclass,7487,0,1957,4,4,0.9739397036280021,0.973775469743772,0.9598798813143933,0.9942842053524032,0.08971758021529964,11.492234945297241,1.1231753826141357,ok,,7487,7487,0,1957,,30,1e-05,True,11.491872310638428,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9692513368983957,0.9692513368983957,,,0,True,False,,random,none,,,,,,True
stage2_graph_scm_0150_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0150_seed42,multiclass,1920,0,474,94,3,1.0,1.0,1.0,1.0,0.00010208263398900003,12.349852085113525,1.601757526397705,ok,,1920,1920,0,474,,30,1e-05,True,12.34947681427002,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
