dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
pc1,/home/crc00006699/zh/tabiclv2/data184/pc1,binclass,887,178,222,21,2,0.9414414414414416,0.9199428109746336,0.5666666666666667,0.8542673107890499,0.1852903154862359,3.686886548995972,0.2512481212615967,ok,,887,709,0,222,,30,1e-05,True,3.6864805221557617,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9325842696629212,0.9325842696629212,,,0,True,False,,f_mmd,test,standardized_l2,0.05,14.86032532681965,34.442359465042536,,True
pc4,/home/crc00006699/zh/tabiclv2/data184/pc4,binclass,1166,234,292,37,2,0.9143835616438356,0.9090075911520448,0.7482638888888888,0.9511176215277778,0.1893088248950865,6.234030723571777,0.4073226451873779,ok,,1166,932,0,292,,30,1e-05,True,6.233636140823364,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9316239316239316,0.935897435897436,,,2,True,False,,f_mmd,test,standardized_l2,0.05,10.755746728435785,14.540866632121263,,True
phoneme,/home/crc00006699/zh/tabiclv2/data184/phoneme,binclass,4323,865,1081,5,2,0.8899167437557817,0.8883035659777967,0.8538304953176871,0.9496011363073316,0.2612350424341818,15.43564748764038,0.4619448184967041,ok,,4323,3458,0,1081,,30,1e-05,True,15.43525242805481,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.908670520231214,0.9167630057803468,,,6,True,False,,f_mmd,test,standardized_l2,0.05,2.9225408814653377,0.4378367380153359,,True
predict_students_dropout_and_academic_success,/home/crc00006699/zh/tabiclv2/data184/predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.7796610169491526,0.7743965096757711,0.7073795925424006,0.8891549743785904,0.5656769729257158,16.28491759300232,1.012559175491333,ok,,3539,2831,0,885,,30,1e-05,True,16.28442668914795,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7994350282485876,0.8050847457627118,,,3,True,False,,f_mmd,test,standardized_l2,0.05,3.739188820220235,1.0152332578915242,,True
ringnorm,/home/crc00006699/zh/tabiclv2/data184/ringnorm,binclass,5920,1184,1480,20,2,0.9804054054054054,0.9804045554267126,0.9803716914040884,0.9971966081698326,0.0611504232626016,21.882097721099854,1.6242806911468506,ok,,5920,4736,0,1480,,30,1e-05,True,21.88162875175476,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,5,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9822635135135136,0.9839527027027029,,,3,True,False,,f_mmd,test,standardized_l2,0.05,2.9055595457399743,0.3089190585119746,,True
satimage,/home/crc00006699/zh/tabiclv2/data184/satimage,multiclass,5144,1029,1286,36,6,0.9253499222395024,0.9228985342711078,0.9003985113389525,0.9943872343516356,0.179867526539164,49.20134544372559,2.2189249992370605,ok,,5144,4115,0,1286,,30,1e-05,True,49.20092701911926,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,5,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9251700680272108,0.9319727891156464,,,12,True,False,,f_mmd,test,standardized_l2,0.05,4.538956398838201,0.8077450767695822,,True
seismic+bumps,/home/crc00006699/zh/tabiclv2/data184/seismic+bumps,binclass,2067,414,517,18,2,0.9342359767891684,0.9024719535783364,0.5,0.7133723054439166,0.2313936587655269,4.925491571426392,0.3612496852874756,ok,,2067,1653,0,517,,30,1e-05,True,4.925021409988403,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9347826086956522,0.9347826086956522,,,0,True,False,,f_mmd,test,standardized_l2,0.05,6.747150619687759,8.626049890033775,,True
shill-bidding,/home/crc00006699/zh/tabiclv2/data184/shill-bidding,binclass,5056,1012,1265,3,2,0.9035573122529644,0.8733612008007566,0.5646513680494263,0.8991180561127605,0.2138245113224361,29.68529343605041,0.4379529953002929,ok,,5056,4044,0,1265,,30,1e-05,True,29.68492197990417,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,5,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8893280632411067,0.8982213438735178,,,14,True,False,,f_mmd,test,standardized_l2,0.05,2.252171375087165,0.3183539496195634,,True
shuttle,/home/crc00006699/zh/tabiclv2/data184/shuttle,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"ValueError: could not broadcast input array from shape (6,) into shape (5,)",0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,,,,,,,,True
splice,/home/crc00006699/zh/tabiclv2/data184/splice,multiclass,2552,511,638,60,3,0.9655172413793104,0.9654427046436316,0.9580550398926088,0.995996141466906,0.1038662201047664,13.378482341766356,0.9309489727020264,ok,,2552,2041,0,638,,30,1e-05,True,13.37802529335022,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9647749510763208,0.9647749510763208,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.7255173080092432,0.0813738717210457,,True
