dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data200/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9943006182380216,0.9942951938172699,0.9930950261844005,0.9993372533261731,0.02380381863757501,0.7380650043487549,23.852588176727295,ok,
pc4,/home/crc00006699/zh/tabiclv2/data200/pc4,binclass,1166,234,292,37,2,0.910958904109589,0.9074272635916473,0.7582465277777778,0.9614800347222222,0.1932896215941702,0.6232640743255615,0.9578433036804199,ok,
pol,/home/crc00006699/zh/tabiclv2/data200/pol,binclass,8065,1613,2017,26,2,0.9940505701536936,0.9940505672289106,0.9940510602985826,0.9997551795743074,0.020804673921517167,0.8873453140258789,4.025116920471191,ok,
predict_students_dropout_and_academic_success,/home/crc00006699/zh/tabiclv2/data200/predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.7830508474576271,0.7771933922535511,0.7096420359813148,0.8936674187059953,0.5517025030873579,0.6929605007171631,2.0645928382873535,ok,
rice_cammeo_and_osmancik,/home/crc00006699/zh/tabiclv2/data200/rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.931758530183727,0.9314798849732625,0.9268236055608712,0.9782708110542016,0.1859713640997366,0.5612325668334961,1.1795251369476318,ok,
ringnorm,/home/crc00006699/zh/tabiclv2/data200/ringnorm,binclass,5920,1184,1480,20,2,0.9797297297297297,0.9797268415464133,0.9796512105721659,0.9972587028422923,0.06032109486003981,0.657783031463623,2.8935227394104004,ok,
segment,/home/crc00006699/zh/tabiclv2/data200/segment,multiclass,1848,370,462,17,7,0.9545454545454546,0.9545478826122294,0.9545454545454545,0.9971741221741223,0.1382754734090897,0.8402905464172363,1.164679765701294,ok,
shill-bidding,/home/crc00006699/zh/tabiclv2/data200/shill-bidding,binclass,5056,1012,1265,3,2,0.9090909090909091,0.8837209302325582,0.5911665195645778,0.9007696113830271,0.21100868657783534,0.6869974136352539,0.7875587940216064,ok,
shrutime,/home/crc00006699/zh/tabiclv2/data200/shrutime,binclass,8000,1600,2000,10,2,0.869,0.8566583203805755,0.7191233276201683,0.8810515847637563,0.30971950026037626,0.6602413654327393,3.396188259124756,ok,
splice,/home/crc00006699/zh/tabiclv2/data200/splice,multiclass,2552,511,638,60,3,0.9608150470219435,0.9607765132232094,0.9538905861102412,0.996896269173741,0.09757999841897448,0.854248046875,2.2209508419036865,ok,
water_quality,/home/crc00006699/zh/tabiclv2/data200/water_quality,binclass,6396,1280,1600,20,2,0.911875,0.9001129884094757,0.6820820223500055,0.9108440924378866,0.2143701363378916,0.6578824520111084,2.6942896842956543,ok,
waveform_database_generator_version_1,/home/crc00006699/zh/tabiclv2/data200/waveform_database_generator_version_1,multiclass,4000,800,1000,21,3,0.871,0.8705334846679682,0.8708938469715716,0.9728375791046723,0.2924337073546543,0.6532137393951416,1.9148204326629639,ok,
wine,/home/crc00006699/zh/tabiclv2/data200/wine,binclass,2043,409,511,4,2,0.786692759295499,0.7858267268299804,0.7868183210784314,0.881985294117647,0.4331558243326853,0.5952773094177246,0.4371986389160156,ok,
wine-quality-red,/home/crc00006699/zh/tabiclv2/data200/wine-quality-red,multiclass,1279,256,320,4,6,0.68125,0.6621077801687107,0.33596813725490193,0.8512393098501391,0.8172748421617271,0.5635333061218262,0.6237413883209229,ok,
