dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9446139761977418,0.9326877657109514,0.6003587108628076,0.8360082467178704,0.1672815022063741,27.64023518562317,11.983906269073486,ok,,26215,20972,0,6554,0.2287149801850319,27,1e-05,True,27.413211345672607,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9494564180812511,0.950028609574671,0.9494564180812511,0.950028609574671,1,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9885699771399543,0.9885789252425097,0.9881279889879813,0.9991513713029281,0.033073390948382984,29.036466360092163,19.054389715194702,ok,,31492,25193,0,7874,0.03765564598143101,27,1e-05,True,28.75249409675598,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9860295284965868,0.9863470392125734,0.9860295284965868,0.9863470392125734,1,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8139446278892558,0.8107410869242543,0.7801382997281279,0.8837927417197277,0.40361563128443834,52.343130111694336,19.095739364624023,ok,,31492,25193,0,7874,0.4330744296312332,48,1e-05,True,52.024391651153564,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.804095888236228,0.8075885061120813,0.804095888236228,0.8075885061120813,8,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7077771855010662,0.6875738247106071,0.7422631703283724,0.5820855523820417,4.592544794082642,0.3011479377746582,ok,,1072,857,0,268,0.5684167444705963,14,1e-05,True,4.560884714126587,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7348837209302326,0.7488372093023256,0.7348837209302326,0.7488372093023256,6,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7338571428571429,0.7334635468408303,0.7338352600278399,0.8002662204950924,0.5437251260869911,61.406471967697144,58.01435470581055,ok,,56000,44800,0,14000,0.5531787276268005,45,1e-05,True,60.901419162750244,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7332142857142857,0.7338392857142857,0.7332142857142857,0.7338392857142857,1,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708394101442229,0.9716351501668521,0.9920919076751947,0.09570426126258744,11.075079441070557,0.6995158195495605,ok,,1920,1536,0,480,0.06758522614836693,24,1e-05,True,11.00064992904663,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9557291666666666,0.9765625,0.9557291666666666,0.9765625,16,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619654353574,0.9568270300333704,0.9883203559510568,0.13984908731147,4.7965404987335205,0.7076256275177002,ok,,1920,1536,0,480,0.10121895372867584,10,1e-05,True,4.72638201713562,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9609375,0.9635416666666666,0.9609375,0.9635416666666666,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666667,0.954176215940922,0.9549499443826474,0.9915009733036707,0.11544529409416358,10.253070592880249,0.7059297561645508,ok,,1920,1536,0,480,0.13731659948825836,23,1e-05,True,10.182502269744873,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9296875,0.9479166666666666,0.9296875,0.9479166666666666,15,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,0.8718718945559047,0.6918948564265288,0.8900184118776199,0.2699533588822042,3.5283143520355225,0.5942625999450684,ok,,1792,1433,0,448,0.2665679305791855,8,1e-05,True,3.46435809135437,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8857938718662952,0.8857938718662952,0.8857938718662952,0.8857938718662952,0,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6781818181818182,0.6674258341190425,0.7265477219823275,0.7307434715373368,0.5053029461811994,14.593696594238281,2.679774284362793,ok,,8799,7039,0,2200,0.4960400015115738,17,1e-05,True,14.504776239395142,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6840909090909091,0.6875,0.6840909090909091,0.6875,9,True,False,
