dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
in_vehicle_coupon_recommendation,/home/crc00006699/zh/tabiclv2/data184/in_vehicle_coupon_recommendation,binclass,10147,2030,2537,21,2,0.7776901852581789,0.7772324351185929,0.7715840505639682,0.8530554341699442,0.46826056716181563,78.48003315925598,1.7858848571777344,ok,,10147,8117,0,2537,,30,1e-05,True,78.47963666915894,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,9,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7620689655172413,0.7660098522167488,,,4,True,False,,f_mmd,test,standardized_l2,0.05,1.6971352957548516,0.09799667072015883,,True
jasmine,/home/crc00006699/zh/tabiclv2/data184/jasmine,binclass,2387,478,597,144,2,0.8207705192629816,0.8185192878750397,0.8209580031873582,0.8740207851675609,0.3869488242380691,25.64091658592224,2.5257768630981445,ok,,2387,1909,0,597,,30,1e-05,True,25.640437841415405,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8577405857740585,0.8577405857740585,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.7449392328552444,2.4961650527571577,,True
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data184/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.9561579651941098,0.9560865741847437,0.9419968209232333,0.9968311826020754,0.11380377158522813,208.4040219783783,8.669923782348633,ok,,35855,28684,0,8964,,90,1e-05,True,208.40356183052063,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,29,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9596987867800865,0.9661135127597267,,,2,True,False,,f_mmd,test,standardized_l2,0.05,1.9244268520766032,0.12052908038647095,,True
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data184/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8882466281310212,0.8877929862229379,0.8882466281310212,0.9458904592721292,0.269333211447154,19.61652398109436,0.7891170978546143,ok,,4150,3320,0,1038,,30,1e-05,True,19.615963220596313,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.880722891566265,0.880722891566265,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.334523566360572,0.7279061837510142,,True
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data184/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,1.2993896981348888e-05,82.3706750869751,2.8337812423706055,ok,,16640,13312,0,4160,,60,1e-05,True,82.37022304534912,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,14,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.309420578998778,0.8235925636180996,,True
led7,/home/crc00006699/zh/tabiclv2/data184/led7,multiclass,2560,512,640,7,10,0.7421875,0.73553122770598,0.7411286764433891,0.9592420486369335,0.7839059586526929,13.717305898666382,0.5866928100585938,ok,,2560,2048,0,640,,30,1e-05,True,13.716920852661133,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.732421875,0.732421875,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.0245008928128945,0.13930771837284306,,True
mammography,/home/crc00006699/zh/tabiclv2/data184/mammography,binclass,8946,1790,2237,6,2,0.9883772910147519,0.9876352025072205,0.8157058616440767,0.9835328287273366,0.032813526888395034,85.4340431690216,1.1386637687683105,ok,,8946,7156,0,2237,,30,1e-05,True,85.4336576461792,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,8,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.988268156424581,0.9905027932960894,,,9,True,False,,f_mmd,test,standardized_l2,0.05,7.900019376116849,9.506283035133837,,True
mfeat-factors,/home/crc00006699/zh/tabiclv2/data184/mfeat-factors,multiclass,1600,320,400,216,10,0.9775,0.9774660103141117,0.9775,0.9991875,0.1278937168219333,16.749467134475708,1.027493953704834,ok,,1600,1280,0,400,,30,1e-05,True,16.749032258987427,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9875,0.9875,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.0588483748197195,0.21025498347766508,,True
mfeat-karhunen,/home/crc00006699/zh/tabiclv2/data184/mfeat-karhunen,multiclass,1600,320,400,64,10,0.9775,0.9774945289293854,0.9775,0.9995,0.11645745663395399,8.904348611831665,0.4767732620239258,ok,,1600,1280,0,400,,30,1e-05,True,8.9038827419281,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.978125,0.978125,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.7423473684625956,0.08135823638131108,,True
mfeat-pixel,/home/crc00006699/zh/tabiclv2/data184/mfeat-pixel,multiclass,1600,320,400,240,10,0.9625,0.9624598628001715,0.9625,0.9983749999999999,0.14712532368953674,58.080424785614014,1.3408787250518799,ok,,1600,1280,0,400,,30,1e-05,True,58.080039739608765,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.971875,0.978125,,,10,True,False,,f_mmd,test,standardized_l2,0.05,1.7238650669662643,0.08986273047303232,,True
