dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7361041562343515,0.7354902435077109,0.7352437466175122,0.8995489181732909,0.5992413068302607,26.178189992904663,0.7421813011169434,ok,,7987,6389,0,1997,,30,1e-05,True,18.396933794021606,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,7,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7484355444305382,0.7484355444305382,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.904572694683334,0.49444953158024213,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.57875226039783,0.5747420776604826,0.5523165695796234,0.7558051913996479,0.8885594387655934,133.77576684951782,17.816956281661987,ok,,44236,35388,0,11060,,120,1e-05,True,133.77531814575195,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,36,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.5679249547920434,0.5679249547920434,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.0334501269147776,0.4289075055447126,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.878,0.866579241516966,0.7414039617429449,0.8801737022076006,0.31518851294336364,40.38840651512146,1.363271713256836,ok,,8000,6400,0,2000,,30,1e-05,True,40.387959241867065,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,7,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.866875,0.869375,,,9,True,False,,f_mmd,test,standardized_l2,0.05,2.2086103532673755,0.38579239617427147,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9164244186046512,0.9164231679207051,0.9164226384622878,0.9753084144837146,0.20135393761852505,45.02647042274475,3.9183852672576904,ok,,16512,13209,0,4128,,60,1e-05,True,45.026045083999634,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,14,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9109900090826522,0.9131092945806842,,,1,True,False,,f_mmd,test,standardized_l2,0.05,7.308259083990536,9.669268646001138,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.832665832290363,0.7591556732406864,0.5051205301591533,0.6265955250824573,0.4375018375634959,71.87937760353088,5.345591068267822,ok,,31958,25566,0,7990,,90,1e-05,True,71.87898516654968,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,26,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8333854818523154,0.8333854818523154,,,0,True,False,,f_mmd,test,standardized_l2,0.05,153.77173812998947,424.0618629410607,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95,0.9500130228681566,0.9506395995550612,0.9903886262513905,0.12772653893603747,18.03991460800171,0.5748577117919922,ok,,1920,1536,0,480,,30,1e-05,True,18.038807153701782,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9453125,0.9609375,,,15,True,False,,f_mmd,test,standardized_l2,0.05,3.3164216657329444,0.44553244638017675,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9395833333333333,0.9395977632929331,0.9398637374860956,0.9832713431590656,0.17130720132542515,6.508785963058472,0.5574495792388916,ok,,1920,1536,0,480,,30,1e-05,True,6.5082786083221436,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.953125,0.953125,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.0202605979733446,0.37753700222061154,,True
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.6991,0.7016922358526746,0.698204743339086,0.8501654091989289,0.6697724811244917,1217.1753726005554,118.82800817489624,ok,,80000,64000,0,20000,,210,1e-05,True,1217.1748790740967,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,64,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7043125,0.7066875,,,12,True,False,,f_mmd,test,standardized_l2,0.05,1.640517711903093e+87,5.10578989572557e+86,,True
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7445887445887446,0.744328695796539,0.7426603432700993,0.8422538392050588,0.48033433445729795,4.985962152481079,0.25249552726745605,ok,,920,736,0,231,,30,1e-05,True,4.985304832458496,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7445652173913043,0.7554347826086957,,,2,True,False,,f_mmd,test,standardized_l2,0.05,8.221732014082972,6.802277606946495,,True
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8549946294307197,0.8480018187235426,0.8054342266775778,0.8741867839607201,0.3585062681968453,14.533019781112671,0.4546546936035156,ok,,3722,2977,0,931,,30,1e-05,True,14.532559156417847,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8483221476510067,0.8550335570469799,,,9,True,False,,f_mmd,test,standardized_l2,0.05,2.6525895941291755,0.32578690717344605,,True
