method,row_group,top3_seeds,n_datasets,mean_accuracy_across_seed_means,std_accuracy_across_seed_means,min_seed_mean_accuracy,max_seed_mean_accuracy
benchmark,small_lt2000,"2025,2026,2028",45,0.8056319719342779,0.0006436386247804996,0.8048903150987889,0.8060443880075062
benchmark,medium_2000_8000,"2025,2026,2028",78,0.8883819041042605,0.00013686446025046702,0.8882638977708682,0.8885319444031563
benchmark,large_gt8000,"2025,2026,2028",61,0.851361614255095,5.8554360648504654e-05,0.8513246142476651,0.8514291230614743
faware_c,small_lt2000,"2025,2027,3",45,0.8059665812966683,0.0006836482153973718,0.8051771731977027,0.806362296474971
faware_c,medium_2000_8000,"2025,2027,3",78,0.8917799828441947,0.0005735744599857252,0.8912218211047511,0.8923678180913979
faware_c,large_gt8000,"2025,2027,3",61,0.8567601502407284,0.0002456373394928292,0.8564768647908845,0.8569140288956586
ft,small_lt2000,"16,2027,2029",45,0.8058446700289649,0.0004803581123336712,0.80545195247598,0.8063802538174596
ft,medium_2000_8000,"16,2027,2029",78,0.8918287330923826,0.00021423008584507886,0.8915876084225229,0.8919971357854839
ft,large_gt8000,"16,2027,2029",61,0.8561440920738316,0.001292744106723,0.8547226208134006,0.8572494818783486
