method,row_group,pooled_n_rows,pooled_mean_accuracy,pooled_std_accuracy
benchmark,small_lt2000,135,0.805631971934278,0.14621553431791204
benchmark,medium_2000_8000,234,0.8883819041042605,0.11562033746729038
benchmark,large_gt8000,183,0.8513616142550949,0.10932757358038404
faware_c,small_lt2000,135,0.8059665812966685,0.14615702471450906
faware_c,medium_2000_8000,234,0.8917799828441949,0.11303670871891525
faware_c,large_gt8000,183,0.8567601502407284,0.11065618882276476
ft,small_lt2000,135,0.8058446700289649,0.14617312149693
ft,medium_2000_8000,234,0.8918287330923828,0.11287598543475583
ft,large_gt8000,183,0.8561440920738315,0.11080804580599347
