dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage1_graph_scm_0137_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0137_seed42,multiclass,771,0,253,43,5,1.0,1.0,1.0,1.0,0.0033683634987389,7.963925123214722,0.4499218463897705,ok,,771,771,0,253,,30,1e-05,True,7.963541030883789,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.987012987012987,0.987012987012987,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0138_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0138_seed42,multiclass,771,0,253,42,5,0.5177865612648221,0.4908605421130573,0.4265564087503729,0.7512336895137034,1.2693097337183796,12.70348834991455,0.4515688419342041,ok,,771,771,0,253,,30,1e-05,True,12.703122854232788,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.4415584415584415,0.5064935064935064,,,5,True,False,,random,none,,,,,,True
stage1_graph_scm_0139_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0139_seed42,multiclass,771,0,253,43,9,0.6719367588932806,0.665653200352627,0.5209355162924173,0.9420610454798736,0.8910029873875666,15.215728759765623,0.4797766208648681,ok,,771,771,0,253,,30,1e-05,True,15.215370416641235,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6623376623376623,0.7012987012987013,,,7,True,False,,random,none,,,,,,True
stage1_graph_scm_0140_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0140_seed42,binclass,678,0,346,5,2,1.0,1.0,1.0,1.0,1.3874043805959771e-05,7.583710670471191,0.4534845352172851,ok,,678,678,0,346,,30,1e-05,True,7.583343505859375,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0141_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0141_seed42,multiclass,678,0,346,5,5,0.8526011560693642,0.847053511713336,0.7009176154609681,0.9693849201548892,0.3451655331092574,7.403243541717529,0.4249658584594726,ok,,678,678,0,346,,30,1e-05,True,7.402772665023804,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8059701492537313,0.8059701492537313,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0142_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0142_seed42,multiclass,678,0,346,5,8,0.407514450867052,0.3847773382348207,0.3751170105400231,0.8174423246984855,1.4986377814769491,15.960240125656128,0.4390285015106201,ok,,678,678,0,346,,30,1e-05,True,15.95987582206726,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.417910447761194,0.5223880597014925,,,10,True,False,,random,none,,,,,,True
stage1_graph_scm_0143_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0143_seed42,multiclass,678,0,346,5,3,0.8757225433526011,0.8655853430099409,0.7589908865761567,0.9558777427679618,0.3271144402333579,7.334117650985718,0.4223735332489013,ok,,678,678,0,346,,30,1e-05,True,7.333751201629639,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8805970149253731,0.8805970149253731,,,0,True,False,,random,none,,,,,,True
stage1_graph_scm_0144_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0144_seed42,binclass,345,0,679,98,2,0.9219440353460971,0.9159715670572206,0.7845855846671425,0.9445577191015057,0.2031757339741252,12.807306289672852,0.5093934535980225,ok,,345,345,0,679,,30,1e-05,True,12.806944370269775,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7647058823529411,0.7941176470588235,,,4,True,False,,random,none,,,,,,True
stage1_graph_scm_0145_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0145_seed42,multiclass,345,0,679,98,5,0.8497790868924889,0.8493152621596531,0.8281055113563236,0.9768702081089164,0.4583336119502003,16.194947242736816,0.545647382736206,ok,,345,345,0,679,,30,1e-05,True,16.194514751434326,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9117647058823528,0.9411764705882352,,,6,True,False,,random,none,,,,,,True
stage1_graph_scm_0146_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0146_seed42,multiclass,345,0,679,98,3,0.6273932253313697,0.6190518608024014,0.585630171258755,0.7952232079214294,0.8140048562812874,18.846328496932983,0.5057318210601807,ok,,345,345,0,679,,30,1e-05,True,18.845961093902588,tabpfn_finetune_epoch_chunks_random,internal validation_split_ratio=0.1 | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.5,0.5588235294117647,,,10,True,False,,random,none,,,,,,True
