dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_split_strategy,ttt_split_reason
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9645833333333333,0.9645917922751676,0.9648915461624027,0.9932390155728588,0.10106013363971436,72.69900155067444,0.6503927707672119,ok,,1920,1536,0,480,0.5927045345306396,154,5e-06,True,71.74468111991882,30,11,accuracy,0.9609375,0.96875,0.9609375,0.96875,6,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583441887393255,0.9587041156840934,0.9904755283648499,0.12607734522888803,50.858930349349976,0.6473357677459717,ok,,1920,1536,0,480,0.410741925239563,110,5e-06,True,49.905182123184204,30,11,accuracy,0.9609375,0.9661458333333334,0.9609375,0.9661458333333334,2,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9495798319327731,0.9494787388639667,0.9473496468573874,0.9808090176214597,0.16191301352613138,38.27969217300415,0.18458938598632812,ok,,952,761,0,238,0.6495050191879272,90,5e-06,True,37.873162031173706,30,6,accuracy,0.8952879581151832,0.900523560209424,0.8952879581151832,0.900523560209424,7,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data200/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9481818181818182,0.9481814755641471,0.9481739343163483,0.9899995950249224,0.13160504656253022,240.6885266304016,2.5357604026794434,ok,,8800,7040,0,2200,0.09076778590679169,517,5e-06,True,237.87134385108948,30,47,accuracy,0.9494318181818182,0.9522727272727273,0.9494318181818182,0.9522727272727273,3,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
KDD,/home/crc00006699/zh/tabiclv2/data200/KDD,binclass,4025,805,1007,45,2,0.8033763654419066,0.8023891817077019,0.8043437093147118,0.9032114254152366,0.37392466598254104,298.768869638443,2.0593740940093994,ok,,4025,3220,0,1007,0.4794457256793976,550,5e-06,True,296.36657094955444,30,22,accuracy,0.8074534161490683,0.8248447204968944,0.8074534161490683,0.8248447204968944,17,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200/Performance-Prediction,binclass,1072,215,268,19,2,0.7574626865671642,0.7472855620957937,0.7114637499252884,0.8016854939931863,0.5341431019787755,26.733330726623535,0.27585315704345703,ok,,1072,857,0,268,0.6531369686126709,60,5e-06,True,26.238203048706055,30,6,accuracy,0.6976744186046512,0.7023255813953488,0.6976744186046512,0.7023255813953488,2,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
VulNoneVul,/home/crc00006699/zh/tabiclv2/data200/VulNoneVul,binclass,4553,911,1139,16,2,0.9894644424934153,0.9842245601854183,0.5,0.8215394853593612,0.05296364588279118,77.95452976226807,0.9718403816223145,ok,,4553,3642,0,1139,0.012853557243943214,180,5e-06,True,76.733407497406,30,25,accuracy,0.9890230515916575,0.9890230515916575,0.9890230515916575,0.9890230515916575,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
adult,/home/crc00006699/zh/tabiclv2/data200/adult,binclass,32561,6513,16281,14,2,0.8729193538480438,0.868365621298575,0.7928887625951359,0.9253067694078893,0.2802075603233547,816.6641068458557,20.671137809753418,ok,,32561,26048,0,16281,0.3827575147151947,1566,5e-06,True,795.5482811927795,30,174,accuracy,0.8691847075080608,0.8717948717948718,0.8691847075080608,0.8717948717948718,1,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
credit-g,/home/crc00006699/zh/tabiclv2/data200/credit-g,binclass,800,160,200,20,2,0.775,0.7609854630948044,0.6869047619047619,0.8471428571428572,0.4401790070141257,49.968384981155396,0.22985577583312988,ok,,800,640,0,200,0.5826985836029053,105,5e-06,True,49.49636483192444,30,5,accuracy,0.7625,0.7875,0.7625,0.7875,13,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
helena,/home/crc00006699/zh/tabiclv2/data200/helena,multiclass,52156,10432,13040,27,100,0.3726993865030675,0.32011233323874044,0.17869926472112496,,6.692751280526206,6897.367411375046,6897.183090209961,ok,,52156,41724,0,13040,,0,5e-06,False,0.002070903778076172,0,0,,,,,,0,False,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT skipped because n_classes=100 exceeds model max_classes=10
kr-vs-kp,/home/crc00006699/zh/tabiclv2/data200/kr-vs-kp,binclass,2556,512,640,36,2,0.996875,0.996875,0.9968690070838715,0.9998532347070566,0.017361096247392436,58.730167627334595,0.7610743045806885,ok,,2556,2044,0,640,0.18545840680599213,112,5e-06,True,57.702654123306274,30,14,accuracy,0.99609375,0.99609375,0.99609375,0.99609375,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
ozone_level,/home/crc00006699/zh/tabiclv2/data200/ozone_level,binclass,2028,406,508,36,2,0.9803149606299213,0.9754525206261568,0.5535515475395235,0.8378980182587398,0.0833046321375851,49.22626805305481,0.8297371864318848,ok,,2028,1622,0,508,0.1556079387664795,87,5e-06,True,48.126953125,30,11,accuracy,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
