dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0012_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0012_seed42,multiclass,4867,0,1225,51,8,0.590204081632653,0.4381083686041152,0.125,0.5184398648943784,1.1712420546126991,15.14874815940857,1.6022953987121582,ok,,4867,4867,0,1225,,30,1e-05,True,15.148401737213137,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.602880658436214,0.602880658436214,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,3.539313485759217,7.418214327521754,,True
stage2_graph_scm_0013_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0013_seed42,multiclass,714,0,171,89,6,0.8713450292397661,0.8704372985351531,0.7922094508301405,0.9833795452472484,0.2918529944501767,9.761757135391235,0.5293025970458984,ok,,714,714,0,171,,30,1e-05,True,9.76139760017395,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9014084507042254,0.9014084507042254,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.52233373805678,1.650192859118094,,True
stage2_graph_scm_0014_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0014_seed42,binclass,3333,0,785,60,2,0.9974522292993632,0.9974522292993632,0.997077786711933,0.9999404389648292,0.0082650775464108,12.855573177337646,1.3973946571350098,ok,,3333,3333,0,785,,30,1e-05,True,12.855229377746582,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.996996996996997,0.996996996996997,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.712632339226929,0.2707248779921608,,True
stage2_graph_scm_0015_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0015_seed42,multiclass,1036,0,266,14,3,0.8909774436090225,0.8907322654462242,0.8676741903322952,0.9727037811469432,0.3136231165314928,7.938716173171997,0.4366023540496826,ok,,1036,1036,0,266,,30,1e-05,True,7.938349008560181,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.941747572815534,0.941747572815534,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.770443740585412,0.3213328821126515,,True
stage2_graph_scm_0016_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0016_seed42,multiclass,6980,0,1742,43,3,0.9701492537313432,0.9702044669798672,0.9710872733127388,0.9968083883601158,0.0894423130138934,17.498183965682983,1.9561972618103027,ok,,6980,6980,0,1742,,30,1e-05,True,17.49782371520996,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9541547277936964,0.9541547277936964,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6155467008264384,0.2187388672450153,,True
stage2_graph_scm_0017_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0017_seed42,multiclass,2611,0,670,35,6,0.5074626865671642,0.4983561888832784,0.4974850336615286,0.8175011833778517,1.3082907784388216,14.118934869766235,0.8638207912445068,ok,,2611,2611,0,670,,30,1e-05,True,14.118584156036375,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.5134099616858238,0.5363984674329502,,,4,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.5436847881622948,0.1630624923809225,,True
stage2_graph_scm_0018_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0018_seed42,multiclass,2948,0,698,61,5,0.9899713467048712,0.9899354260255684,0.9823747783687942,0.9999788394034952,0.0163261908518275,12.791903018951416,1.347886562347412,ok,,2948,2948,0,698,,30,1e-05,True,12.791550636291504,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9965986394557824,0.9965986394557824,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.968243169378953,0.7439857225548714,,True
stage2_graph_scm_0019_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0019_seed42,multiclass,2997,0,716,67,7,0.88268156424581,0.8827874160866174,0.7850490352912234,0.9898447119401804,0.2983719791090418,13.709372282028198,1.433515548706055,ok,,2997,2997,0,716,,30,1e-05,True,13.709017515182495,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8729096989966555,0.8729096989966555,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6377558525696974,0.2952855874600587,,True
stage2_graph_scm_0020_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0020_seed42,multiclass,1138,0,268,53,9,1.0,1.0,1.0,1.0,0.0001786899312817,9.16439723968506,0.4800119400024414,ok,,1138,1138,0,268,,30,1e-05,True,9.16397762298584,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.5863857407691642,0.5340583700921031,,True
stage2_graph_scm_0021_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0021_seed42,multiclass,1223,0,293,2,6,0.6382252559726962,0.5822567169446029,0.5720354808590103,0.9161451193028518,0.7653134046765977,16.557035446166992,0.432919979095459,ok,,1223,1223,0,293,,30,1e-05,True,16.556610584259033,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6475409836065574,0.6721311475409836,,,11,True,False,,f_mmd,test,standardized_l2,0.2908641795,3.365722264939087,5.062608051022528,,True
stage2_graph_scm_0022_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0022_seed42,multiclass,3947,0,1049,65,3,0.6482364156339371,0.5647260899682551,0.3937646759695488,0.6393840967850504,0.8555858054419728,20.937182903289795,1.7029199600219729,ok,,3947,3947,0,1049,,30,1e-05,True,20.936827898025516,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.631979695431472,0.6345177664974619,,,3,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.5765872673356471,0.2976550608857191,,True
stage2_graph_scm_0023_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0023_seed42,multiclass,7179,0,1896,41,6,0.9926160337552744,0.9926413314448742,0.9849488189861392,0.9998746661985022,0.0196754156073297,21.09990382194519,1.9600255489349363,ok,,7179,7179,0,1896,,30,1e-05,True,21.099481344223022,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.99302649930265,0.99581589958159,,,2,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.1255516632663354,0.8084800700858283,,True
stage2_graph_scm_0024_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0024_seed42,multiclass,2510,0,630,31,10,0.2571428571428571,0.1781299176406734,0.1751957140037759,0.6823717395911515,2.0362121336060084,13.827792644500732,0.7730348110198975,ok,,2510,2510,0,630,,30,1e-05,True,13.8273663520813,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,0.2589641434262948,0.2749003984063745,,,4,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.8163601965072176,13.386291897553116,,True
stage2_graph_scm_0025_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0025_seed42,multiclass,754,0,198,33,7,0.9949494949494948,0.9950364892948624,0.9948979591836736,1.0,0.0103718439863363,8.102897882461548,0.449312686920166,ok,,754,754,0,198,,30,1e-05,True,8.102542400360107,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,2.513625857320894,1.6344423954885392,,True
stage2_graph_scm_0026_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0026_seed42,binclass,1948,0,467,34,2,1.0,1.0,1.0,1.0,1.2993896981348888e-05,9.206546545028688,0.9123477935791016,ok,,1948,1948,0,467,,30,1e-05,True,9.206192255020142,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2908641795,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.2908641795,1.6209061008954098,0.0,,True
