dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok,ttt_upper_enabled,ttt_upper_selection,ttt_upper_pool_size,ttt_upper_final_epochs,ttt_upper_shift_score,ttt_upper_alpha,ttt_upper_alpha_reason,ttt_upper_stage1_steps,ttt_upper_stage2_steps,ttt_upper_fallback_reason,ttt_upper_used_test_features
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.503941898782927,1.9943177700042725,4.492801189422607,ok,,1035,828,0,259,,0,1e-05,False,1.1595559120178225,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,f_hybrid_upper,test,standardized_l2,,,,True,False,,0,0,,,,0,0,,False
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.838452273411623,0.4882865703294186,85.96373748779297,0.8890693187713623,ok,,920,736,0,231,0.7670797407627106,23,1e-05,True,85.8900146484375,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.056821 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7445652173913043,0.7445652173913043,0.7445652173913043,0,True,False,,f_hybrid_upper,test,standardized_l2,4.196542043385118,2.555377057255908,,True,True,f_hybrid_upper,368,8,0.0568214396410167,0.0,validation_best_accuracy,22,1,,True
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7438692098092643,0.7438692098092643,0.7438216598348482,0.8322788570070695,0.5084449166230669,193.63287353515625,0.5561225414276123,ok,,1466,1172,0,367,0.7868637144565582,23,1e-05,True,193.58181047439572,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.118706 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7244897959183674,0.7108843537414966,0.7244897959183674,10,True,False,,f_hybrid_upper,test,standardized_l2,3.0219386941986603,1.011303097424158,,True,True,f_hybrid_upper,586,8,0.1187059612044137,1.0,validation_best_accuracy,22,1,,True
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7275204359673024,0.7272531562094675,0.727607507721549,0.7930921834164885,0.553130949246042,192.90321731567383,0.5583951473236084,ok,,1467,1173,0,367,0.6058704853057861,23,1e-05,True,192.8563961982727,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.114482 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7006802721088435,0.7006802721088435,0.7006802721088435,0.7006802721088435,0,True,False,,f_hybrid_upper,test,standardized_l2,2.7880754782069124,0.875848939856117,,True,True,f_hybrid_upper,587,8,0.1144817520752925,0.0,validation_best_accuracy,22,1,,True
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.672206144145757,0.678125,0.7334570312500001,0.599956001609341,140.54370427131653,0.5435886383056641,ok,,1280,1024,0,320,0.7143920660018921,21,1e-05,True,140.46131682395935,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.283366 actual_upper_final_epochs=10,30,1,epoch_chunk,accuracy,0.65234375,0.65625,0.65234375,0.65625,3,True,False,,f_hybrid_upper,test,standardized_l2,4.362523553676437,0.6013899326746305,,True,True,f_hybrid_upper,512,10,0.2833662013113605,1.0,validation_best_accuracy,20,1,,True
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.953781512605042,0.9536614172576188,0.9511664407505172,0.9830206178212172,0.1517251024433617,87.05072402954102,0.7638511657714844,ok,,952,761,0,238,0.266083724796772,23,1e-05,True,87.00695419311523,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.750000 reason=validation_best_accuracy | upper_shift_score=0.172008 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.9109947643979056,0.9162303664921466,0.9109947643979056,0.9162303664921466,3,True,False,,f_hybrid_upper,test,standardized_l2,3.2428661563598005,0.5150019738834793,,True,True,f_hybrid_upper,381,8,0.1720076896469854,0.75,validation_best_accuracy,22,1,,True
MIC,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/MIC,binclass,1319,264,330,104,2,0.906060606060606,0.8968551692194965,0.7441492726122707,0.8834071262913769,0.2644311409089628,183.5459909439087,1.4814682006835938,ok,,1319,1055,0,330,0.2947737872600555,23,1e-05,True,183.19382762908936,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.500000 reason=validation_best_accuracy | upper_shift_score=0.104633 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.8674242424242424,0.8787878787878788,0.8674242424242424,0.8787878787878788,11,True,False,,f_hybrid_upper,test,standardized_l2,9.096497591122862,3.7876324596017854,,True,True,f_hybrid_upper,528,8,0.1046326557721642,0.5,validation_best_accuracy,22,1,,True
PieChart3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8751714677640604,0.2675302331209523,77.2599105834961,1.1466331481933594,ok,,861,688,0,216,0.3233585655689239,23,1e-05,True,77.16670346260071,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.031795 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.884393063583815,0.8901734104046243,0.884393063583815,0.8901734104046243,5,True,False,,f_hybrid_upper,test,standardized_l2,4.41385905075267,4.119168363185633,,True,True,f_hybrid_upper,344,8,0.0317953878500111,1.0,validation_best_accuracy,22,1,,True
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PizzaCutter3,binclass,834,167,209,37,2,0.8851674641148325,0.8432935485567066,0.5372826086956521,0.893695652173913,0.2497936956244458,74.09757137298584,1.176983118057251,ok,,834,667,0,209,0.3289234936237335,23,1e-05,True,74.00100541114807,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.018170 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.8922155688622755,0.8922155688622755,0.8922155688622755,0.8922155688622755,0,True,False,,f_hybrid_upper,test,standardized_l2,4.390085801441453,2.1297277723215795,,True,True,f_hybrid_upper,334,8,0.018169964742864,0.0,validation_best_accuracy,22,1,,True
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5384615384615384,0.5267602845208057,0.5493589743589743,0.9655602451002824,1.3751577156336197,1.2724685668945312,4.081466197967529,ok,,1091,872,0,273,,0,1e-05,False,0.6309759616851807,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,f_hybrid_upper,test,standardized_l2,,,,True,False,,0,0,,,,0,0,,False
