dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_split_strategy,ttt_split_reason
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data172/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8322903629536921,0.7570975596323481,0.5025250413068624,0.6243861558720154,0.4398116202295041,556.4424815177917,4.4739274978637695,ok,,31958,25566,0,7990,0.5103822350502014,1368,5e-06,True,551.7465875148773,30,171,accuracy,0.8322903629536921,0.8322903629536921,0.8322903629536921,0.8322903629536921,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666668,0.9604261207781286,0.9607202447163516,0.9896412680756396,0.1224169458354769,57.817312479019165,0.6389224529266357,ok,,1920,1536,0,480,0.4863942265510559,121,5e-06,True,56.89695620536804,30,11,accuracy,0.9557291666666666,0.9609375,0.9557291666666666,0.9609375,3,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9645833333333332,0.9645917922751676,0.9648915461624028,0.9932390155728588,0.1010601336397143,72.69900155067444,0.6503927707672119,ok,,1920,1536,0,480,0.5927045345306396,154,5e-06,True,71.74468111991882,30,11,accuracy,0.9609375,0.96875,0.9609375,0.96875,6,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479200608232866,0.947928253615128,0.9863563681868744,0.1397397066407042,40.99132442474365,0.6339292526245117,ok,,1920,1536,0,480,0.8317574858665466,88,5e-06,True,40.0505473613739,30,11,accuracy,0.9557291666666666,0.9557291666666666,0.9557291666666666,0.9557291666666666,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583441887393256,0.9587041156840934,0.99047552836485,0.126077345228888,50.858930349349976,0.6473357677459717,ok,,1920,1536,0,480,0.410741925239563,110,5e-06,True,49.90518212318421,30,11,accuracy,0.9609375,0.9661458333333334,0.9609375,0.9661458333333334,2,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95,0.9500104173900964,0.9507786429365962,0.9874687152391546,0.1356142167832071,40.65980911254883,0.6349427700042725,ok,,1920,1536,0,480,0.9329996109008788,88,5e-06,True,39.71438026428223,30,11,accuracy,0.9296875,0.9296875,0.9296875,0.9296875,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Credit_c,/home/crc00006699/zh/tabiclv2/data172/Credit_c,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 22.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 12.69 MiB is free. Process 53998 has 22.95 GiB memory in use. Process 74743 has 616.00 MiB memory in use. Of the allocated memory 253.12 MiB is allocated by PyTorch, and 66.88 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,0,0,,0,,False,0.0,0,0,,,,,,0,False,False,,,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data172/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.8798192095170371,0.7081325655188624,0.9050613076350532,0.2519308529712586,52.88943529129028,0.4792020320892334,ok,,1792,1433,0,448,0.3156932294368744,110,5e-06,True,52.14525294303894,30,10,accuracy,0.8857938718662952,0.8913649025069638,0.8857938718662952,0.8913649025069638,3,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data172/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7532467532467533,0.7534136757881049,0.7530487804878049,0.8359680819030413,0.4866100856178326,22.49542236328125,0.2521214485168457,ok,,920,736,0,231,0.8577089905738831,45,5e-06,True,22.00754141807556,30,5,accuracy,0.75,0.7554347826086957,0.75,0.7554347826086957,1,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data172/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.6653416304123677,0.7272492317309087,0.7347657755975927,0.50406305414006,306.9974842071533,1.4698283672332764,ok,,8799,7039,0,2200,0.6207000613212585,705,5e-06,True,305.2969994544983,30,47,accuracy,0.6863636363636364,0.6869318181818181,0.6863636363636364,0.6869318181818181,7,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Employee,/home/crc00006699/zh/tabiclv2/data172/Employee,binclass,3722,745,931,8,2,0.8474758324382384,0.8395725673066129,0.7952408960720131,0.872821194762684,0.3628014239063192,69.64751076698303,0.4619686603546142,ok,,3722,2977,0,931,0.4002735316753387,160,5e-06,True,68.97611808776855,30,20,accuracy,0.8429530201342282,0.8429530201342282,0.8429530201342282,0.8429530201342282,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data172/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7518987341772152,0.7515688686621714,0.7506070778497733,0.8245432021661689,0.516069122084051,286.3179383277893,2.6444594860076904,ok,,7896,6316,0,1975,0.7643150091171265,602,5e-06,True,283.42840671539307,30,43,accuracy,0.7493670886075949,0.7537974683544304,0.7493670886075949,0.7537974683544304,6,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
