dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
svmguide3,/home/crc00006699/zh/tabiclv2/data200/svmguide3,binclass,994,199,249,22,2,0.8875502008032129,0.8771517855530067,0.7728892543859649,0.9297331871345029,0.27130296535421056,4.50287938117981,1.024254322052002,ok,,994,795,0,249,0.2325732186436653,10,1e-05,True,4.4375786781311035,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8442211055276382,0.8492462311557789,0.8442211055276382,0.8492462311557789,2,True,False,
taiwanese_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data200/taiwanese_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9706744868035191,0.9646685865014639,0.6223484848484848,0.9296315426997245,0.08795532283656995,15.898713111877441,6.463020324707031,ok,,5455,4364,0,1364,0.08778546750545502,8,1e-05,True,15.467840433120728,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9679193400549955,0.9679193400549955,0.9679193400549955,0.9679193400549955,0,True,False,
texture,/home/crc00006699/zh/tabiclv2/data200/texture,multiclass,4400,880,1100,40,11,1.0,1.0,1.0,1.0,4.294523593802828e-05,0.9614341259002686,5.906513452529907,ok,,4400,3520,0,1100,,0,1e-05,False,0.4690282344818115,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | FT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
thyroid-ann,/home/crc00006699/zh/tabiclv2/data200/thyroid-ann,multiclass,3017,604,755,21,3,0.9920529801324504,0.9919737363445972,0.9376413813904388,0.9996714680910527,0.015591016289617635,8.112147569656372,1.3300769329071045,ok,,3017,2413,0,755,0.0027939695864915848,16,1e-05,True,8.045116186141968,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9950331125827815,1.0,0.9950331125827815,1.0,8,True,False,
turiye_student_evaluation,/home/crc00006699/zh/tabiclv2/data200/turiye_student_evaluation,multiclass,4656,932,1164,32,5,0.5223367697594502,0.49287069713754933,0.41019945352607995,0.7695270073869199,1.1793725589297173,7.084657192230225,2.313309669494629,ok,,4656,3724,0,1164,1.1519219875335693,8,1e-05,True,6.944906234741211,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5139484978540773,0.5139484978540773,0.5139484978540773,0.5139484978540773,0,True,False,
vehicle,/home/crc00006699/zh/tabiclv2/data200/vehicle,multiclass,676,136,170,18,4,0.8823529411764706,0.881062951496388,0.8825757575757576,0.9751589556277056,0.25549995840161577,3.203465461730957,0.6615943908691406,ok,,676,540,0,170,0.28652556240558624,8,1e-05,True,3.1678144931793213,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529,0,True,False,
wall-robot-navigation,/home/crc00006699/zh/tabiclv2/data200/wall-robot-navigation,multiclass,4364,873,1092,24,4,0.9926739926739927,0.9926729029014852,0.9880179344465059,0.9999563052910144,0.015233167830962494,6.11976957321167,1.88356614112854,ok,,4364,3491,0,1092,0.019554927945137024,8,1e-05,True,6.012956619262695,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9862542955326461,0.9862542955326461,0.9862542955326461,0.9862542955326461,0,True,False,
waveform-5000,/home/crc00006699/zh/tabiclv2/data200/waveform-5000,multiclass,4000,800,1000,40,3,0.867,0.8669717595951272,0.867105239636032,0.9782694884748514,0.2585519991128797,9.798362493515015,2.194342613220215,ok,,4000,3200,0,1000,0.2725500464439392,11,1e-05,True,9.651484966278076,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.87125,0.875,0.87125,0.875,3,True,False,
website_phishing,/home/crc00006699/zh/tabiclv2/data200/website_phishing,multiclass,1082,217,271,9,3,0.922509225092251,0.9228747867522754,0.9293650793650793,0.9793512029881097,0.23897184028131094,2.866436243057251,0.37685132026672363,ok,,1082,865,0,271,0.20039884746074677,8,1e-05,True,2.8338418006896973,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9216589861751152,0.9216589861751152,0.9216589861751152,0.9216589861751152,0,True,False,
wine-quality-red,/home/crc00006699/zh/tabiclv2/data200/wine-quality-red,multiclass,1279,256,320,4,6,0.6625,0.6482084346106187,0.3826388888888889,0.829375326887326,0.8096090768594401,6.047466993331909,0.48001623153686523,ok,,1279,1023,0,320,0.8226087987422943,20,1e-05,True,6.025807619094849,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.63671875,0.66796875,0.63671875,0.66796875,12,True,False,
yeast,/home/crc00006699/zh/tabiclv2/data200/yeast,multiclass,1187,238,297,8,10,0.632996632996633,0.6259630807291936,0.5806380187734008,0.883973488058945,0.9735056150347342,2.7565362453460693,0.3990306854248047,ok,,1187,949,0,297,0.9880276620388031,8,1e-05,True,2.7285144329071045,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5630252100840336,0.5630252100840336,0.5630252100840336,0.5630252100840336,0,True,False,
