dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data184/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.9742302543507363,0.9741400927238895,0.9571684114648197,0.9978586555448029,0.0980310914918122,97.01291489601135,24.701972484588623,ok,,35855,28684,0,8964,0.07473934441804886,True,0.1,False,90,1e-05,True,96.83364987373352,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=44819>=2000,30,3,epoch_chunk,accuracy,0.8775624041277367,0.9910751638544136,0.8775624041277367,0.9910751638544136,26,False,False,,f_mmd,test,standardized_l2,1.6842624684719274,0.11883262554714057,,True
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data184/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8882466281310212,0.8877063398802528,0.8882466281310212,0.9493059500076106,0.25853563726093365,5.233010530471802,1.2929644584655762,ok,,4150,3320,0,1038,0.27145035564899445,True,0.1,False,8,1e-05,True,5.151131868362427,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=5188>=2000,30,1,epoch_chunk,accuracy,0.8855421686746988,0.8855421686746988,0.8855421686746988,0.8855421686746988,0,True,False,,f_mmd,test,standardized_l2,2.8931288887307254,0.6358918142971975,,True
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data184/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,2.0299996034959106e-07,13.979646921157837,6.908614635467529,ok,,16640,13312,0,4160,0.0,True,0.1,False,16,1e-05,True,13.813600301742554,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=20800>=2000,30,2,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,f_mmd,test,standardized_l2,3.112586008945274,0.8474250258118484,,True
led7,/home/crc00006699/zh/tabiclv2/data184/led7,multiclass,2560,512,640,7,10,0.7390625,0.735670465002411,0.7381770217612007,0.9591832080439499,0.7846325303165365,6.732649803161621,0.5937013626098633,ok,,2560,2048,0,640,0.7758336365222931,True,0.1,False,22,1e-05,True,6.694921970367432,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=3200>=2000,30,1,epoch_chunk,accuracy,0.71875,0.73046875,0.71875,0.73046875,14,True,False,,f_mmd,test,standardized_l2,1.8215096776673152,0.13693282591016667,,True
mammography,/home/crc00006699/zh/tabiclv2/data184/mammography,binclass,8946,1790,2237,6,2,0.9901654000894055,0.9894161898194523,0.8260077451152966,0.9855395176905474,0.03156976293397083,11.521289110183716,1.977614164352417,ok,,8946,7156,0,2237,0.021259969100356102,True,0.1,False,15,1e-05,True,11.451802730560303,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=11183>=2000,30,1,epoch_chunk,accuracy,0.9871508379888269,0.9877094972067039,0.9871508379888269,0.9877094972067039,7,True,False,,f_mmd,test,standardized_l2,7.970916834701687,14.781896406581865,,True
mfeat-factors,/home/crc00006699/zh/tabiclv2/data184/mfeat-factors,multiclass,1600,320,400,216,10,0.975,0.9749632740458096,0.975,0.999576388888889,0.10255225303854942,13.709349870681763,2.461371660232544,ok,,1600,1280,0,400,0.0199819914996624,True,0.1,False,8,1e-05,True,13.328848123550415,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.9875,0.9875,0.9875,0.9875,0,True,False,,f_mmd,test,standardized_l2,1.797599941987325,0.2074111681229176,,True
mfeat-karhunen,/home/crc00006699/zh/tabiclv2/data184/mfeat-karhunen,multiclass,1600,320,400,64,10,0.9725,0.9724908887361291,0.9724999999999999,0.9996388888888891,0.10896762902449428,9.084718227386475,0.9878177642822266,ok,,1600,1280,0,400,0.010960554704070091,True,0.1,False,14,1e-05,True,8.96530294418335,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.96875,0.978125,0.96875,0.978125,6,True,False,,f_mmd,test,standardized_l2,1.4833980234349975,0.08353374997855788,,True
mfeat-pixel,/home/crc00006699/zh/tabiclv2/data184/mfeat-pixel,multiclass,1600,320,400,240,10,0.975,0.9749546371618203,0.975,0.9994861111111112,0.11872153027853734,18.23864507675171,2.596306324005127,ok,,1600,1280,0,400,0.06494207680225372,True,0.1,False,8,1e-05,True,17.582225799560547,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.975,0.975,0.975,0.975,0,True,False,,f_mmd,test,standardized_l2,1.4547364797647881,0.08515444540497863,,True
mice_protein_expression,/home/crc00006699/zh/tabiclv2/data184/mice_protein_expression,multiclass,864,173,216,75,8,1.0,1.0,1.0,1.0,1.1063916139456919e-05,4.933351993560791,0.6276407241821289,ok,,864,691,0,216,0.0012449700152501464,True,0.1,True,8,1e-05,True,4.819058656692505,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1080<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,f_mmd,test,standardized_l2,2.7442066627269504,0.7115219973976314,,True
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data184/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9929482225656878,0.9929449798855013,0.9921544594847491,0.99929169976097,0.025484771336995875,53.1921112537384,24.007270336151123,ok,,41408,33126,0,10352,0.1206771545112133,True,0.1,False,56,1e-05,True,53.010109663009644,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=51760>=2000,30,4,epoch_chunk,accuracy,0.9904612412460758,0.9945665298237141,0.9904612412460758,0.9945665298237141,6,True,False,,f_mmd,test,standardized_l2,3.652784633741647,1.0369087279793756,,True
