dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_l2_sp_lambda,ttt_l2_sp_loss,ttt_ce_loss,ttt_total_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/decrease_dataset/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.712,0.6826340914013429,0.5153580618841399,0.7694308820919825,0.6599691582511474,48.16065430641174,3.907139301300049,ok,,2000,1600,0,500,0.7479903101921082,0.0001,0.0449378825724124,0.74798583984375,0.7479903101921082,20,1e-05,True,47.82352066040039,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.715,0.7375,0.715,0.7375,12,True,False,
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/decrease_dataset/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6372881355932203,0.6356221051172173,0.6106558709719377,0.7948118572256018,0.8236246965571389,9.842012166976929,1.1994316577911377,ok,,1178,942,0,295,0.9311382472515106,0.0001,0.0141566023230552,0.931136816740036,0.9311382472515106,8,1e-05,True,9.793760299682615,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0,True,False,
credit-g,/home/crc00006699/zh/tabiclv2/decrease_dataset/credit-g,binclass,800,160,200,20,2,0.785,0.7676703752849511,0.6892857142857143,0.8472619047619048,0.4372356163434473,19.459639072418213,1.954033613204956,ok,,800,640,0,200,0.577603667974472,0.0001,0.0384817272424697,0.5775997936725616,0.577603667974472,21,1e-05,True,19.382394313812256,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.75,0.76875,0.75,0.76875,13,True,False,
dabetes_130-us_hospitals,/home/crc00006699/zh/tabiclv2/decrease_dataset/dabetes_130-us_hospitals,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 7.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.71 GiB memory in use. Process 1755 has 7.72 GiB memory in use. Of the allocated memory 7.36 GiB is allocated by PyTorch, and 45.55 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,0,0,,,,,,0,,False,0.0,,,0,0,,,,,,,0,False,False,
dna,/home/crc00006699/zh/tabiclv2/decrease_dataset/dna,multiclass,2548,510,638,180,3,0.9717868338557992,0.9719225529564052,0.9714135951918074,0.997980097351232,0.078726645084531,9.59303069114685,10.18423557281494,ok,,2548,2038,0,638,,0.0001,,,,0,1e-05,False,6.401260614395142,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 184.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 25.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 17.55 GiB memory in use. Process 1755 has 2.87 GiB memory in use. Of the allocated memory 2.43 GiB is allocated by PyTorch, and 124.30 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 184.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 25.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 17.55 GiB memory in use. Process 1755 has 2.87 GiB memory in use. Of the allocated memory 2.43 GiB is allocated by PyTorch, and 124.30 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
dry_bean_dataset,/home/crc00006699/zh/tabiclv2/decrease_dataset/dry_bean_dataset,multiclass,10888,2178,2723,16,7,0.9287550495776716,0.928732548177597,0.9380410882603464,0.9960302373166858,0.1858984397059493,6.095342636108398,10.931299686431885,ok,,10888,8710,0,2723,,0.0001,,,,0,1e-05,False,4.435744524002075,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.06 GiB. GPU 0 has a total capacity of 23.57 GiB of which 717.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.71 GiB memory in use. Process 1755 has 7.03 GiB memory in use. Of the allocated memory 4.86 GiB is allocated by PyTorch, and 1.84 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.06 GiB. GPU 0 has a total capacity of 23.57 GiB of which 717.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.71 GiB memory in use. Process 1755 has 7.03 GiB memory in use. Of the allocated memory 4.86 GiB is allocated by PyTorch, and 1.84 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
first-order-theorem-proving,/home/crc00006699/zh/tabiclv2/decrease_dataset/first-order-theorem-proving,multiclass,4894,979,1224,51,6,0.6511437908496732,0.6339349352347329,0.5250922040067,0.8600481100812662,1.0152216418023232,19.144859075546265,7.397144317626953,ok,,4894,3915,0,1224,,0.0001,,,,0,1e-05,False,17.26502513885498,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 490.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 283.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.71 GiB memory in use. Process 1755 has 7.45 GiB memory in use. Of the allocated memory 6.10 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 490.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 283.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.71 GiB memory in use. Process 1755 has 7.45 GiB memory in use. Of the allocated memory 6.10 GiB is allocated by PyTorch, and 1.03 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
htru,/home/crc00006699/zh/tabiclv2/decrease_dataset/htru,binclass,14318,2864,3580,8,2,0.9804469273743016,0.98025473088243,0.9316705667056672,0.9877317523175232,0.0607943046518771,56.51748681068421,9.94763970375061,ok,,14318,11454,0,3580,0.0444675218313932,0.0001,0.0610934682190418,0.0444614123553037,0.0444675218313932,30,1e-05,True,56.37995958328247,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9783519553072626,0.9793994413407822,0.9783519553072626,0.9793994413407822,7,True,False,
led7,/home/crc00006699/zh/tabiclv2/decrease_dataset/led7,multiclass,2560,512,640,7,10,0.7375,0.7331325740704353,0.7356000607364938,0.9596793496351652,0.7786046688118914,13.374399662017822,1.2829430103302002,ok,,2560,2048,0,640,0.8055676221847534,0.0001,0.0293213855475187,0.8055647015571594,0.8055676221847534,11,1e-05,True,13.266202688217165,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.73046875,0.732421875,0.73046875,0.732421875,3,True,False,
madeline,/home/crc00006699/zh/tabiclv2/decrease_dataset/madeline,binclass,2512,503,628,259,2,0.9219745222929936,0.9219703671076008,0.921940928270042,0.976701963648166,0.190424518444373,56.73893189430237,8.97758173942566,ok,,2512,2009,0,628,0.3134476989507675,0.0001,0.0281830485910177,0.3134448677301407,0.3134476989507675,11,1e-05,True,55.18419146537781,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9224652087475148,0.9244532803180916,0.9224652087475148,0.9244532803180916,3,True,False,
