dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9447665547757096,0.9320369374388704,0.5942482347537201,0.8400952859111448,0.1672047778442089,36.40938830375672,11.924034357070925,ok,,26215,20972,0,6554,0.3083664029836654,39,1e-05,True,36.1783721446991,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.949074957085638,0.9507915315658974,0.949074957085638,0.9507915315658974,5,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9886969773939548,0.9887072854615564,0.9884003234709012,0.99914897707509,0.0331599450508033,28.35017442703247,19.00119137763977,ok,,31492,25193,0,7874,0.0402963254600763,27,1e-05,True,28.096374988555908,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9868233052865534,0.9869820606445469,0.9868233052865534,0.9869820606445469,1,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8140716281432563,0.8110538474454586,0.7810067832459441,0.8840279315402254,0.4031027783989483,61.69961762428284,19.1601505279541,ok,,31492,25193,0,7874,0.381303921341896,60,1e-05,True,61.38364052772522,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8066359739641213,0.8102873471979679,0.8066359739641213,0.8102873471979679,12,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7077771855010662,0.6875738247106071,0.7438577840774865,0.5789575451935342,3.4541289806365967,0.3027069568634033,ok,,1072,857,0,268,0.5473520159721375,10,1e-05,True,3.42299747467041,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7441860465116279,0.7534883720930232,0.7441860465116279,0.7534883720930232,2,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7349285714285714,0.7345581461250409,0.7349073011942209,0.8003350266400087,0.5434137095244932,53.0886709690094,57.81137847900391,ok,,56000,44800,0,14000,0.5689698457717896,40,1e-05,True,52.586270809173584,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7328571428571429,0.7328571428571429,0.7328571428571429,0.7328571428571429,0,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.968757460661964,0.9694799777530588,0.9911533648498332,0.1015182426778067,5.233565807342529,0.703049898147583,ok,,1920,1536,0,480,0.0531153306365013,10,1e-05,True,5.137943267822266,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9635416666666666,0.9661458333333334,0.9635416666666666,0.9661458333333334,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583441857234636,0.9589822024471636,0.9887722469410456,0.1383870404708294,5.681661128997803,0.7129149436950684,ok,,1920,1536,0,480,0.1227845847606659,12,1e-05,True,5.611299276351929,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9635416666666666,0.9713541666666666,0.9635416666666666,0.9713541666666666,4,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95,0.9500138927479856,0.950500556173526,0.9905102892102337,0.1207864502148758,7.805925846099853,0.7067627906799316,ok,,1920,1536,0,480,0.0913060978055,17,1e-05,True,7.734624862670898,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9401041666666666,0.9505208333333334,0.9401041666666666,0.9505208333333334,9,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,0.8718718945559047,0.6918948564265288,0.8941708778939945,0.2682239677325594,3.6681220531463614,0.622941255569458,ok,,1792,1433,0,448,0.3089717030525207,8,1e-05,True,3.604181289672852,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8885793871866295,0.8885793871866295,0.8885793871866295,0.8885793871866295,0,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6777272727272727,0.6673873231451636,0.725435352485036,0.7340655538106061,0.5054326328652846,11.439082384109495,2.699840545654297,ok,,8799,7039,0,2200,0.4875685721635818,13,1e-05,True,11.348633289337158,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6818181818181818,0.6835227272727272,0.6818181818181818,0.6835227272727272,5,True,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7463291139240507,0.7462052328808906,0.7455064939867448,0.8222052847616269,0.5176040270123682,9.492874145507812,2.848745584487915,ok,,7896,6316,0,1975,0.5465154647827148,8,1e-05,True,9.325909614562988,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7487341772151899,0.7487341772151899,0.7487341772151899,0.7487341772151899,0,True,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.711123787792356,0.7111440251880771,0.7116586816929874,0.7867070381266208,0.5592821696764089,66.5331666469574,23.261073112487797,ok,,35060,28048,0,8765,0.5331363677978516,57,1e-05,True,66.23419880867004,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7037934968625214,0.7183399885909869,0.7037934968625214,0.7183399885909869,11,True,False,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.773841961852861,0.7734341510765739,0.7727394328517925,0.8420575471137268,0.4940695215854553,4.800430536270142,0.3772115707397461,ok,,1465,1172,0,367,0.5632834732532501,11,1e-05,True,4.769554853439331,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7167235494880546,0.7372013651877133,0.7167235494880546,0.7372013651877133,3,True,False,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7092983456930976,0.7092273482885333,0.7101173003870442,0.7808782609438811,0.5693106278128379,106.68289852142334,23.110572338104248,ok,,35060,28048,0,8765,0.577867716550827,90,1e-05,True,106.34564328193665,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.6622932116371933,0.7174843126069596,0.6622932116371933,0.7174843126069596,26,False,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7275204359673024,0.7273382539219342,0.7275926585887385,0.7857121644095983,0.5589630639521314,3.586332321166992,0.3747055530548095,ok,,1467,1173,0,367,0.5165560841560364,12,1e-05,True,3.5545568466186523,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7074829931972789,0.7108843537414966,0.7074829931972789,0.7108843537414966,4,True,False,
