model,comparison,left_method,right_method,dataset_name,stage,metric,left_value,right_value,delta
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0038_seed42,stage1,accuracy,0.9982758620689656,0.9982758620689656,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0039_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0040_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0041_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0042_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0043_seed42,stage1,accuracy,0.9540740740740741,0.954074074074074,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0044_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0045_seed42,stage1,accuracy,0.9919354838709677,0.9919354838709676,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0046_seed42,stage1,accuracy,0.9959677419354839,0.995967741935484,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0047_seed42,stage1,accuracy,0.592741935483871,0.592741935483871,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0048_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0049_seed42,stage1,accuracy,0.7073608617594255,0.7073608617594255,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0050_seed42,stage1,accuracy,0.6140035906642729,0.6140035906642729,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0051_seed42,stage1,accuracy,0.8384201077199281,0.8384201077199281,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0052_seed42,stage1,accuracy,0.9003831417624522,0.9042145593869731,-0.003831417624520994
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0053_seed42,stage1,accuracy,0.9846743295019157,0.9846743295019156,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0054_seed42,stage1,accuracy,0.946360153256705,0.946360153256705,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0055_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0056_seed42,stage1,accuracy,0.9078651685393259,0.907865168539326,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0057_seed42,stage1,accuracy,0.7213483146067415,0.7213483146067415,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0058_seed42,stage1,accuracy,0.3235955056179775,0.3235955056179775,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0059_seed42,stage1,accuracy,0.9955056179775281,0.995505617977528,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0060_seed42,stage1,accuracy,0.9085072231139647,0.9085072231139648,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0061_seed42,stage1,accuracy,0.9229534510433387,0.9229534510433388,-1.1102230246251565e-16
