dataset,model,method,reference_method,metric,shared_status_ok,method_mean,reference_mean,delta,wins,losses,ties
OpenML-CC18,TabPFNv3,Last-block,FT,log_loss,63,0.26917858092400376,0.26630820568828345,0.0028703752357203626,34,29,0
Graph-SCM,TabPFNv3,FT,Infer,accuracy,512,0.8148429615279678,0.8139014458044543,0.0009415157235134453,166,122,224
Graph-SCM,TabPFNv3,FT,Infer,balanced_accuracy,512,0.7567054730534166,0.7549178371866219,0.0017876358667948643,181,134,197
Graph-SCM,TabPFNv3,FT,Infer,f1,512,0.7976337511178735,0.7961513475871931,0.001482403530680384,181,138,193
Graph-SCM,TabPFNv3,FT,Infer,roc_auc,512,0.9188036630390247,0.918636309954448,0.00016735308457681048,196,171,145
Graph-SCM,TabPFNv3,FT,Infer,log_loss,512,0.45694630532235697,0.4582005915481968,-0.0012542862258398332,256,238,18
Graph-SCM,TabPFNv3,F-aware FT,FT,accuracy,512,0.8149421368300436,0.8148429615279678,9.917530207579061e-05,108,104,300
Graph-SCM,TabPFNv3,F-aware FT,FT,balanced_accuracy,512,0.7569434610977236,0.7567054730534166,0.00023798804430692953,116,114,282
Graph-SCM,TabPFNv3,F-aware FT,FT,f1,512,0.7980266408484303,0.7976337511178735,0.00039288973055684733,115,119,278
Graph-SCM,TabPFNv3,F-aware FT,FT,roc_auc,512,0.9188162907062433,0.9188036630390247,1.2627667218479332e-05,124,124,264
Graph-SCM,TabPFNv3,F-aware FT,FT,log_loss,512,0.4570851648105424,0.45694630532235697,0.00013885948818546608,135,127,250
data184,LimiX-2M,FT,Infer,accuracy,83,0.8124964975189881,0.8130348851083499,-0.0005383875893617203,23,30,30
data184,LimiX-2M,FT,Infer,balanced_accuracy,83,0.7277255252823619,0.7288740607214436,-0.0011485354390816862,25,32,26
data184,LimiX-2M,FT,Infer,f1,83,0.7999315263629004,0.8009073208772469,-0.0009757945143464199,23,34,26
data184,LimiX-2M,FT,Infer,roc_auc,83,0.8551382110068517,0.8556626424428214,-0.0005244314359694419,33,42,8
data184,LimiX-2M,FT,Infer,log_loss,83,0.3882691833233413,0.3876194706141891,0.0006497127091521451,40,43,0
