dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_best_accuracy
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9729166666666668,0.9729212512641552,0.9737903225806452,0.9922830923248054,0.1078393826501157,14.943989992141724,0.4478695392608642,ok,,1920,1536,0,480,,30,1e-05,True,10.299389600753784,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,True,False,,roc_auc,0.9950365441256682,0.9950365441256682,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9791666666666666,0.9791692006510168,0.9792825361512792,0.9972712736373748,0.0637326624899478,16.966035842895508,0.4594137668609619,ok,,1920,1536,0,480,,30,1e-05,True,12.343504428863524,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,2,True,False,,roc_auc,0.9974910003272608,0.998036435038726,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666668,0.960426116838488,0.9611373748609566,0.9933780589543938,0.0996633456440981,12.666642427444458,0.4518253803253174,ok,,1920,1536,0,480,,30,1e-05,True,12.666339635849,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,5,True,False,,roc_auc,0.9961546852841716,0.997081924293662,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.968752036493972,0.9687847608453838,0.994368743047831,0.0954231716214418,10.75685167312622,0.447253942489624,ok,,1920,1536,0,480,,30,1e-05,True,10.7565495967865,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,3,True,False,,roc_auc,0.9971364677648088,0.9983909676011782,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.94375,0.9437536621252696,0.944730255839822,0.9895369855394884,0.1379496993909826,7.83274245262146,0.4474439620971679,ok,,1920,1536,0,480,,30,1e-05,True,7.832430839538574,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,True,False,,roc_auc,0.992963892222101,0.992963892222101,
Credit_c,/home/crc00006699/zh/tabiclv2/data172/Credit_c,multiclass,80000,16000,20000,22,3,0.8115,0.8115638786517017,0.8163507232182664,0.925229910823766,0.4523225300877256,763.1872019767761,28.689239740371704,ok,,80000,64000,0,20000,,960,5e-06,True,763.1866292953491,tabpfn_finetune_epoch_chunks,dataset_val_split,30,32,tabpfn_finetuning_api,,,0,False,False,,,,,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data172/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8973214285714286,0.8886775692419826,0.7305206252203549,0.9044736945195284,0.255522133135528,26.51641273498535,0.4531199932098388,ok,,1792,1433,0,448,,30,5e-06,True,26.5157253742218,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data172/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7532467532467533,0.7531724089863625,0.7519196025293586,0.8352905751279736,0.4947486724975797,22.9951765537262,0.4555654525756836,ok,,920,736,0,231,,30,5e-06,True,22.99473476409912,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data172/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6754545454545454,0.6642292210927905,0.7242628781133251,0.733006420059229,0.5043550601578484,81.98216342926025,1.2347266674041748,ok,,8799,7039,0,2200,,120,5e-06,True,81.98177790641785,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,,,,,
Employee,/home/crc00006699/zh/tabiclv2/data172/Employee,binclass,3722,745,931,8,2,0.8560687432867884,0.8500185951104708,0.8099734042553192,0.863149549918167,0.3643589896575712,84.81876611709595,0.5817341804504395,ok,,3722,2977,0,931,,60,5e-06,True,84.81838154792786,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,,,,,
