dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage1_graph_scm_0125_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0125_seed42,multiclass,751,76,273,59,7,0.9157509157509157,0.9118024739494506,0.8750570120521327,0.9896332972612741,0.2530414728244047,11.088210105895996,1.4434998035430908,ok,,751,675,0,273,0.27608537673950195,True,0.1,True,16,1e-05,True,10.941016435623169,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.868421052631579,0.881578947368421,0.868421052631579,0.881578947368421,8,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0126_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0126_seed42,multiclass,751,76,273,59,8,0.4249084249084249,0.39440975587278954,0.3229053441869898,0.7839889258415912,1.526310737155957,13.626074314117432,1.4372503757476807,ok,,751,675,0,273,1.5600481629371643,True,0.1,True,20,1e-05,True,13.48255467414856,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.4342105263157895,0.47368421052631576,0.4342105263157895,0.47368421052631576,12,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0127_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0127_seed42,multiclass,751,76,273,58,3,1.0,1.0,1.0,1.0,8.39712200092074e-07,6.100451231002808,1.4257473945617676,ok,,751,675,0,273,1.6561261304559594e-06,True,0.1,True,8,1e-05,True,5.956912279129028,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0128_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0128_seed42,multiclass,472,48,552,15,4,0.9927536231884058,0.9927516421887141,0.9914402797574469,0.9999580647440072,0.019254550522826288,3.246269941329956,0.6933856010437012,ok,,472,424,0,552,0.002160141128115356,True,0.1,True,8,1e-05,True,3.201366901397705,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0129_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0129_seed42,multiclass,472,48,552,15,4,0.625,0.6107297168191103,0.5050542944450508,0.7978306401300932,0.924852136987907,3.12391996383667,0.7014758586883545,ok,,472,424,0,552,0.8324408829212189,True,0.1,True,8,1e-05,True,3.077495813369751,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.75,0.75,0.75,0.75,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0130_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0130_seed42,multiclass,472,48,552,15,3,0.8514492753623188,0.8415888296265672,0.6985846545830653,0.949838913994184,0.3124992632497989,3.283046245574951,0.6901588439941406,ok,,472,424,0,552,0.32249145209789276,True,0.1,True,8,1e-05,True,3.2395458221435547,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0131_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0131_seed42,binclass,472,48,552,11,2,1.0,1.0,1.0,1.0,1.7430334838105824e-05,2.894092321395874,0.6214709281921387,ok,,472,424,0,552,1.3403949310486496e-06,True,0.1,True,8,1e-05,True,2.8598339557647705,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0132_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0132_seed42,binclass,752,76,272,70,2,1.0,1.0,1.0,1.0,1.1690954482075855e-06,6.382960081100464,0.7361838817596436,ok,,752,676,0,272,9.430779357444408e-07,True,0.1,True,8,1e-05,True,6.208380222320557,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0133_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0133_seed42,multiclass,752,76,272,82,6,0.4411764705882353,0.34933072885087996,0.30027401539029447,0.7122354695106489,1.405621893351322,7.031041145324707,0.8544342517852783,ok,,752,676,0,272,1.4883027076721191,True,0.1,True,8,1e-05,True,6.82939076423645,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0134_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0134_seed42,multiclass,752,76,272,88,5,0.5404411764705882,0.5225745592470777,0.41128411028514816,0.7818102281495081,1.1567444499274757,10.471324443817139,0.8526980876922607,ok,,752,676,0,272,1.1153521537780762,True,0.1,True,12,1e-05,True,10.241156816482544,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.47368421052631576,0.4868421052631579,0.47368421052631576,0.4868421052631579,4,True,False,,random,none,standardized_l2,,,,True
