dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data200/PizzaCutter3,binclass,834,167,209,37,2,0.8899521531100478,0.8463166234064067,0.54,0.8919565217391304,0.2511375574461033,11.333226919174194,1.786517858505249,ok,,834,667,0,209,0.2398694455623626,11,1e-05,True,11.2439284324646,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8922155688622755,0.8982035928143712,0.8922155688622755,0.8982035928143712,3,True,False,,random,none,tabicl_encoded_l2,,,,True
Pumpkin_Seeds,/home/crc00006699/zh/tabiclv2/data200/Pumpkin_Seeds,binclass,2000,400,500,12,2,0.884,0.8838957370313303,0.883173076923077,0.947636217948718,0.2938350795204549,8.069995403289795,0.7889163494110107,ok,,2000,1600,0,500,0.2573176473379135,11,1e-05,True,8.00879693031311,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.875,0.8775,0.875,0.8775,3,True,False,,random,none,tabicl_encoded_l2,,,,True
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data200/QSAR_biodegradation,binclass,843,169,211,41,2,0.8909952606635071,0.8890044360150116,0.8623239436619718,0.951609657947686,0.2711651314213292,9.22394847869873,1.416069507598877,ok,,843,674,0,211,0.2850841134786606,8,1e-05,True,9.044470310211182,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.863905325443787,0.863905325443787,0.863905325443787,0.863905325443787,0,True,False,,random,none,tabicl_encoded_l2,,,,True
Rain_in_Australia,/home/crc00006699/zh/tabiclv2/data200/Rain_in_Australia,multiclass,116368,23274,29092,18,3,0.8588615426921491,0.8510102416598326,0.7041288305247924,0.9210678256540938,0.3470412263553583,329.66580963134766,271.7388722896576,ok,,116368,93094,0,29092,0.3657788038253784,140,1e-05,True,327.16384768486023,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,10,epoch_chunk,accuracy,0.8526252470568015,0.8546876342700008,0.8526252470568015,0.8546876342700008,6,True,False,,random,none,tabicl_encoded_l2,,,,True
SDSS17,/home/crc00006699/zh/tabiclv2/data200/SDSS17,multiclass,80000,16000,20000,12,3,0.9778,0.9776852426516478,0.9726276124866184,0.9971697940630356,0.068634054512106,244.38375902175903,111.73703241348268,ok,,80000,64000,0,20000,0.1043161526322364,133,1e-05,True,242.45991039276123,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,accuracy,0.9756875,0.976375,0.9756875,0.976375,11,True,False,,random,none,tabicl_encoded_l2,,,,True
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.69,0.6806534485986308,0.7316879626271892,0.73566330339811,0.4991204883253063,13.10130786895752,3.506547451019287,ok,,8799,7039,0,2200,0.5005466043949127,8,1e-05,True,12.991511106491089,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.675,0.675,0.675,0.675,0,True,False,,random,none,tabicl_encoded_l2,,,,True
Telecom_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Telecom_Churn_Dataset,binclass,2666,534,667,17,2,0.95952023988006,0.9586941339858616,0.8993217580032555,0.9325013564839936,0.1300930648193425,14.17690396308899,1.668682336807251,ok,,2666,2132,0,667,0.1035914495587349,12,1e-05,True,14.032508611679075,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9550561797752808,0.9606741573033708,0.9550561797752808,0.9606741573033708,4,True,False,,random,none,tabicl_encoded_l2,,,,True
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5384615384615384,0.5267602845208057,0.5493589743589743,0.9655602451002824,1.375157717489065,2.067474842071533,6.438710927963257,ok,,1091,872,0,273,,0,1e-05,False,1.0725939273834229,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,random,none,tabicl_encoded_l2,,,,True
VulNoneVul,/home/crc00006699/zh/tabiclv2/data200/VulNoneVul,binclass,4553,911,1139,16,2,0.9894644424934153,0.9842245601854184,0.5,0.8333703046435965,0.0501745945543503,9.16727352142334,2.302388906478882,ok,,4553,3642,0,1139,0.0351174473762512,8,1e-05,True,8.886345386505127,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9890230515916576,0.9890230515916576,0.9890230515916576,0.9890230515916576,0,True,False,,random,none,tabicl_encoded_l2,,,,True
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data200/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6524390243902439,0.5940230374200272,0.573671875,0.6668603515625,0.6240464433201256,11.025573968887327,0.9927270412445068,ok,,2620,2096,0,656,0.6434917449951172,16,1e-05,True,10.967988967895508,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6335877862595419,0.6412213740458015,0.6335877862595419,0.6412213740458015,8,True,False,,random,none,tabicl_encoded_l2,,,,True
