dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7626439659489234,0.7622580209267681,0.7623167240961098,0.9181876543221524,0.5395411123586619,39.88072633743286,0.9724433422088623,ok,,7987,6389,0,1997,,30,1e-05,True,36.18089985847473,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api_grad_accum10,acc,0.7803504380475594,0.7803504380475594,,,0,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5039783001808318,0.47307600636630515,0.44682218276359476,0.7055624351942811,0.9594959979641842,211.62371444702148,12.720968961715698,ok,,44236,35388,0,11060,,120,1e-05,True,211.62335920333862,tabpfn_finetune_epoch_chunks,dataset_val_split,30,36,tabpfn_finetuning_api_grad_accum10,acc,0.579000904159132,0.579000904159132,,,0,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,0.8658722154806275,0.7416908433857586,0.8835399343873922,0.3123306555913723,98.99435377120972,1.0980336666107178,ok,,8000,6400,0,2000,,30,1e-05,True,98.99402785301208,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api_grad_accum10,acc,0.86875,0.87625,,,15,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9205426356589147,0.9205425237494194,0.9205421475342686,0.9777627024749448,0.19136562229486462,109.373943567276,2.675840139389038,ok,,16512,13209,0,4128,,60,1e-05,True,109.37363171577454,tabpfn_finetune_epoch_chunks,dataset_val_split,30,14,tabpfn_finetuning_api_grad_accum10,acc,0.9118982742960945,0.9152285800787163,,,4,True,False,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8339173967459325,0.7627661836876718,0.5097238858776602,0.6276850578743359,0.43684800508929567,180.56485533714294,6.955049753189087,ok,,31958,25566,0,7990,,90,1e-05,True,180.56448125839233,tabpfn_finetune_epoch_chunks,dataset_val_split,30,26,tabpfn_finetuning_api_grad_accum10,acc,0.8333854818523154,0.8336983729662077,,,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708394135223403,0.971078976640712,0.9959329810901001,0.0787205073285444,8.03042721748352,0.4467916488647461,ok,,1920,1536,0,480,,30,1e-05,True,8.030021905899048,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9713541666666666,0.9713541666666666,,,0,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666667,0.9604261207781286,0.9607202447163515,0.9934302002224694,0.11289900684824783,7.896167039871216,0.4553828239440918,ok,,1920,1536,0,480,,30,1e-05,True,7.8958516120910645,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api_grad_accum10,acc,0.9869791666666666,0.9869791666666666,,,0,True,False,
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.7897,0.789885739148248,0.7852012627115249,0.9116450627068097,0.5143503877444854,420.96725511550903,28.708816289901733,ok,,80000,64000,0,20000,,210,1e-05,True,420.9668323993683,tabpfn_finetune_epoch_chunks,dataset_val_split,30,64,tabpfn_finetuning_api_grad_accum10,acc,0.8096875,0.80975,,,1,True,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7445887445887446,0.7445117917578138,0.7432249322493225,0.8255043661547727,0.5082841769504413,13.766862392425537,0.4573516845703125,ok,,920,736,0,231,,30,1e-05,True,13.766348838806152,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api_grad_accum10,acc,0.7282608695652174,0.75,,,6,True,False,
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8539205155746509,0.8477800666792839,0.8075925736497545,0.8759052782324059,0.35581141345022366,13.435282468795776,0.5784611701965332,ok,,3722,2977,0,931,,30,1e-05,True,13.434946060180664,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api_grad_accum10,acc,0.8563758389261745,0.8563758389261745,,,0,True,False,
