dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
eucalyptus,/home/crc00006699/zh/tabiclv2/data184/eucalyptus,multiclass,588,118,148,19,5,0.7297297297297297,0.7351575136345485,0.7297449320705134,0.9423862538555191,0.636830855986325,7.836985349655151,0.43135857582092285,ok,,588,470,0,148,,30,1e-05,True,7.836529016494751,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7033898305084746,0.7033898305084746,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.5715512309300785,2.342872129743461,,True
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data184/eye_movements_bin,binclass,6086,1218,1522,20,2,0.8206307490144547,0.8205742835489939,0.8206307490144547,0.904664137546385,0.40755740822276243,38.238903522491455,1.0523614883422852,ok,,6086,4868,0,1522,,30,1e-05,True,38.238539934158325,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6436781609195402,0.8530377668308703,,,27,False,False,,f_mmd,test,standardized_l2,0.05,6.804704470839492,4.178498860938383,,True
golf_play_dataset_extended,/home/crc00006699/zh/tabiclv2/data184/golf_play_dataset_extended,binclass,876,176,219,9,2,0.9360730593607306,0.9360730593607306,0.9036818296054285,0.9763759738627795,0.19492289091078968,15.926807165145874,0.4354701042175293,ok,,876,700,0,219,,30,1e-05,True,15.926373481750488,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9147727272727273,0.9431818181818182,,,9,True,False,,f_mmd,test,standardized_l2,0.05,3.2420692300951317,0.17528926019204555,,True
hill-valley,/home/crc00006699/zh/tabiclv2/data184/hill-valley,binclass,969,194,243,100,2,0.9053497942386831,0.9046031299330104,0.9049925484351714,0.9906516732150115,0.3440101723731142,8.753979444503784,0.45896267890930176,ok,,969,775,0,243,,30,1e-05,True,8.753615379333496,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9175257731958762,0.9175257731958762,,,0,True,False,,f_mmd,test,standardized_l2,0.05,13.658256198909653,8.435375438395978,,True
htru,/home/crc00006699/zh/tabiclv2/data184/htru,binclass,14318,2864,3580,8,2,0.9801675977653631,0.9801266127302761,0.938370008700087,0.9878461284612846,0.06301238814507311,21.013606071472168,2.1402392387390137,ok,,14318,11454,0,3580,,60,1e-05,True,21.013251066207886,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd,acc,0.9797486033519553,0.9797486033519553,,,0,True,False,,f_mmd,test,standardized_l2,0.05,8.946950700716206,3.6753390943866857,,True
in_vehicle_coupon_recommendation,/home/crc00006699/zh/tabiclv2/data184/in_vehicle_coupon_recommendation,binclass,10147,2030,2537,21,2,0.7749310208908159,0.7734557424326273,0.7655308140013553,0.8536219355410737,0.46642109425409106,57.04550290107727,1.7707619667053223,ok,,10147,8117,0,2537,,30,1e-05,True,57.045117139816284,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.7630541871921183,0.7807881773399015,,,17,True,False,,f_mmd,test,standardized_l2,0.05,1.6951515820085175,0.09583944474401432,,True
jasmine,/home/crc00006699/zh/tabiclv2/data184/jasmine,binclass,2387,478,597,144,2,0.8324958123953099,0.8308156826687917,0.8326636888060874,0.8767704428632355,0.382735697910136,48.62887358665466,2.553471326828003,ok,,2387,1909,0,597,,30,1e-05,True,48.62838888168335,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8368200836820083,0.8472803347280334,,,9,True,False,,f_mmd,test,standardized_l2,0.05,3.7449392328552444,2.496165052757159,,True
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data184/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.9897367246764837,0.9897336471408275,0.9863586524951297,0.999594084395691,0.05044418240755068,194.19128394126892,8.686609506607056,ok,,35855,28684,0,8964,,90,1e-05,True,194.1908950805664,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,3,tabpfn_finetuning_api_f_mmd,acc,0.948821642727653,0.9963742853158555,,,24,False,False,,f_mmd,test,standardized_l2,0.05,1.9249339663621492,0.11850166959036632,,True
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data184/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.882466281310212,0.8820454545454546,0.882466281310212,0.9472863554857607,0.2654970390770252,12.47334909439087,0.7685134410858154,ok,,4150,3320,0,1038,,30,1e-05,True,12.472890377044678,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.880722891566265,0.8843373493975903,,,3,True,False,,f_mmd,test,standardized_l2,0.05,3.3453983837649908,0.6661016526204139,,True
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data184/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,1.2993896981348888e-05,24.34855365753174,2.85201358795166,ok,,16640,13312,0,4160,,60,1e-05,True,24.348169565200806,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.3184578216595466,0.8452659424729104,,True
led7,/home/crc00006699/zh/tabiclv2/data184/led7,multiclass,2560,512,640,7,10,0.7390625,0.732962503194235,0.7371667958110893,0.9573502102361731,0.789800884939751,8.472970247268677,0.5619006156921387,ok,,2560,2048,0,640,,30,1e-05,True,8.472598552703857,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.732421875,0.732421875,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.027332511650197,0.13555889457933692,,True
mammography,/home/crc00006699/zh/tabiclv2/data184/mammography,binclass,8946,1790,2237,6,2,0.9874832364774251,0.9868317397265052,0.8152481957401866,0.9833744059144517,0.03399352278838518,20.770302057266235,1.1250498294830322,ok,,8946,7156,0,2237,,30,1e-05,True,20.76994037628174,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.988268156424581,0.9893854748603352,,,6,True,False,,f_mmd,test,standardized_l2,0.05,8.315249255577932,13.625643987045807,,True
mfeat-factors,/home/crc00006699/zh/tabiclv2/data184/mfeat-factors,multiclass,1600,320,400,216,10,0.9775,0.9774660103141117,0.9775,0.9995694444444444,0.094579029848157,20.442421913146973,1.0167598724365234,ok,,1600,1280,0,400,,30,1e-05,True,20.44204878807068,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.98125,0.984375,,,3,True,False,,f_mmd,test,standardized_l2,0.05,2.058848374819719,0.21025498347766933,,True
mfeat-karhunen,/home/crc00006699/zh/tabiclv2/data184/mfeat-karhunen,multiclass,1600,320,400,64,10,0.9675,0.9673696286201633,0.9675,0.9994722222222222,0.1469865811871602,8.62712025642395,0.4601624011993408,ok,,1600,1280,0,400,,30,1e-05,True,8.626720666885376,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.98125,0.98125,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.7423473684625956,0.08135823638131108,,True
mfeat-pixel,/home/crc00006699/zh/tabiclv2/data184/mfeat-pixel,multiclass,1600,320,400,240,10,0.965,0.9649351958007761,0.9650000000000001,0.9991458333333334,0.12753309125664075,35.1749005317688,1.3086371421813965,ok,,1600,1280,0,400,,30,1e-05,True,35.17452359199524,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.96875,0.978125,,,3,True,False,,f_mmd,test,standardized_l2,0.05,1.7238650669662638,0.08986273047303973,,True
mice_protein_expression,/home/crc00006699/zh/tabiclv2/data184/mice_protein_expression,multiclass,864,173,216,75,8,1.0,1.0,1.0,1.0,0.00039749366855298284,10.244161367416382,0.45400452613830566,ok,,864,691,0,216,,30,1e-05,True,10.243790864944458,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9942196531791907,1.0,,,2,True,False,,f_mmd,test,standardized_l2,0.05,3.8332374332200425,3.0500950205315265,,True
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data184/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.9943972179289027,0.9943920119947384,0.9932179367055411,0.9993437861259918,0.022440888380571174,143.74614262580872,11.164871454238892,ok,,41408,33126,0,10352,,120,1e-05,True,143.745774269104,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,4,tabpfn_finetuning_api_f_mmd,acc,0.9949287611687998,0.9962569427674475,,,11,True,False,,f_mmd,test,standardized_l2,0.05,3.87416050776356,1.0402982477577347,,True
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data184/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,1.0,1.0,9.05125422688009e-05,9.45483684539795,0.7182574272155762,ok,,3926,3140,0,982,,30,1e-05,True,9.454457521438599,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd,acc,1.0,1.0,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.8596667308055714,0.43253432230266964,,True
