dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
ozone-level-8hr,/home/crc00006699/zh/tabiclv2/data184/ozone-level-8hr,binclass,2027,406,507,72,2,0.9526627218934912,0.9438411998460644,0.668717105263158,0.9440131578947368,0.1259611151701423,12.273987770080566,1.2643201351165771,ok,,2027,1621,0,507,,30,1e-05,True,12.27355670928955,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9507389162561576,0.9532019704433498,,,2,True,False,,random,none,,,,,,True
page-blocks,/home/crc00006699/zh/tabiclv2/data184/page-blocks,multiclass,4378,876,1095,10,5,0.9771689497716894,0.9769755430864684,0.8995303112955375,0.9928929962404152,0.0886302042092117,14.60739254951477,0.6715953350067139,ok,,4378,3502,0,1095,,30,1e-05,True,14.60698390007019,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9714611872146118,0.9771689497716894,,,5,True,False,,random,none,,,,,,True
pc3,/home/crc00006699/zh/tabiclv2/data184/pc3,binclass,1250,250,313,37,2,0.8977635782747604,0.8493992104215747,0.5,0.822508896797153,0.2778711633368486,14.087969303131104,0.4699609279632568,ok,,1250,1000,0,313,,30,1e-05,True,14.087590456008911,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.892,0.896,,,6,True,False,,random,none,,,,,,True
pendigits,/home/crc00006699/zh/tabiclv2/data184/pendigits,multiclass,8793,1759,2199,16,10,0.9972714870395636,0.997273276642423,0.9972681553840104,0.9997121736022538,0.0128193643522196,14.23433232307434,1.3992702960968018,ok,,8793,7034,0,2199,,30,1e-05,True,14.233843564987184,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9977259806708356,0.9977259806708356,,,0,True,False,,random,none,,,,,,True
pol,/home/crc00006699/zh/tabiclv2/data184/pol,binclass,8065,1613,2017,26,2,0.992563212692117,0.992563135915902,0.9925649314896094,0.999789592083943,0.020920619279036,18.230698823928837,1.511378049850464,ok,,8065,6452,0,2017,,30,1e-05,True,18.23027372360229,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9894606323620584,0.990700557966522,,,2,True,False,,random,none,,,,,,True
rice_cammeo_and_osmancik,/home/crc00006699/zh/tabiclv2/data184/rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.9304461942257218,0.93028263305116,0.9268376765914336,0.9769657229695504,0.1938992174050329,12.69823145866394,0.5891482830047607,ok,,3048,2438,0,762,,30,1e-05,True,12.697862148284912,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9327868852459016,0.9360655737704918,,,4,True,False,,random,none,,,,,,True
rl,/home/crc00006699/zh/tabiclv2/data184/rl,binclass,3976,796,994,12,2,0.8943661971830986,0.8943421362993529,0.8943661971830985,0.9482164617483574,0.2929597122162481,15.009244918823242,0.7062737941741943,ok,,3976,3180,0,994,,30,1e-05,True,15.00882053375244,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8743718592964824,0.8831658291457286,,,5,True,False,,random,none,,,,,,True
segment,/home/crc00006699/zh/tabiclv2/data184/segment,multiclass,1848,370,462,17,7,0.9372294372294372,0.9371760551764846,0.9372294372294372,0.9958240412785866,0.1699289830908586,8.435113668441772,0.4716935157775879,ok,,1848,1478,0,462,,30,1e-05,True,8.43468451499939,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9486486486486486,0.9486486486486486,,,0,True,False,,random,none,,,,,,True
semeion,/home/crc00006699/zh/tabiclv2/data184/semeion,multiclass,1274,255,319,256,10,0.9529780564263324,0.953089419686292,0.9530241935483872,0.9990405629862752,0.1391276491810384,43.69405031204224,1.2100045680999756,ok,,1274,1019,0,319,,30,1e-05,True,43.69360947608948,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9372549019607844,0.9568627450980391,,,10,True,False,,random,none,,,,,,True
shrutime,/home/crc00006699/zh/tabiclv2/data184/shrutime,binclass,8000,1600,2000,10,2,0.8735,0.8612633243351486,0.7248503491852345,0.884282827249239,0.3080566216785053,12.428614377975464,1.1257143020629885,ok,,8000,6400,0,2000,,30,1e-05,True,12.428167581558228,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.87,0.87,,,0,True,False,,random,none,,,,,,True
