dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
OpenML-ID-1462,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1462,binclass,1097,220,275,4,2,1.0,1.0,1.0,1.0,3.3301359055421487e-06,2.940931797027588,0.1678164005279541,ok,,1097,877,0,275,1.519066927357926e-06,True,0.1,True,8,1e-05,True,2.9153096675872803,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1372<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,f_mmd,test,tabicl_encoded_l2,169.36225348004157,30.373382942220257,,True
OpenML-ID-1464,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1464,binclass,598,120,150,4,2,0.7866666666666666,0.7631850117096018,0.631578947368421,0.7948343079922027,0.4477938966886206,2.6288764476776123,0.2182481288909912,ok,,598,478,0,150,0.4650152772665024,True,0.1,True,8,1e-05,True,2.6038496494293213,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=748<2000,30,1,epoch_chunk,accuracy,0.8,0.8,0.8,0.8,0,True,False,,f_mmd,test,tabicl_encoded_l2,387739251026.845,8047221.387449459,,True
OpenML-ID-1468,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1468,multiclass,864,173,216,856,9,0.949074074074074,0.9489353241553584,0.9490740740740742,0.997950424382716,0.1825757195640481,116.80988144874571,7.344991683959961,ok,,864,691,0,216,0.2228270545601844,True,0.1,True,23,1e-05,True,114.7071282863617,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1080<2000,30,1,epoch_chunk,accuracy,0.9364161849710982,0.9595375722543352,0.9364161849710982,0.9595375722543352,15,True,False,,f_mmd,test,tabicl_encoded_l2,0.0284979643788192,0.0087406353148114,,True
OpenML-ID-1475,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1475,multiclass,4894,979,1224,51,6,0.6495098039215687,0.632724455402489,0.5252143034565065,0.860568692805491,1.0146941935077398,16.774540901184082,3.446704387664795,ok,,4894,3915,0,1224,1.1011919975280762,True,0.1,False,12,1e-05,True,16.44562005996704,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=6118>=2000,30,1,epoch_chunk,accuracy,0.6302349336057201,0.6353421859039836,0.6302349336057201,0.6353421859039836,4,True,False,,f_mmd,test,tabicl_encoded_l2,8.170557050063836,13.479321542838056,,True
OpenML-ID-1478,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1478,multiclass,8239,1648,2060,561,6,0.9980582524271844,0.9980580591258628,0.9981580602986424,0.9999983941486033,0.0040250859735298,24.90375542640686,84.93843245506287,ok,,8239,6591,0,2060,,True,0.1,False,0,1e-05,False,18.12976360321045,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10299>=2000 | TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.78 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.56 GiB is free. Process 6168 has 22.00 GiB memory in use. Of the allocated memory 20.72 GiB is allocated by PyTorch, and 981.34 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.78 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.56 GiB is free. Process 6168 has 22.00 GiB memory in use. Of the allocated memory 20.72 GiB is allocated by PyTorch, and 981.34 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",f_mmd,test,tabicl_encoded_l2,,,,True
OpenML-ID-1480,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1480,binclass,466,94,117,10,2,0.6666666666666666,0.6498143664245359,0.5566973777462793,0.7264351523742026,0.5258233507692357,3.5468568801879883,0.4105038642883301,ok,,466,372,0,117,0.4986345022916794,True,0.1,True,11,1e-05,True,3.5196990966796875,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=583<2000,30,1,epoch_chunk,accuracy,0.7553191489361702,0.7659574468085106,0.7553191489361702,0.7659574468085106,3,True,False,,f_mmd,test,tabicl_encoded_l2,67140172.2201259,251835.4250894818,,True
OpenML-ID-1485,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1485,binclass,2080,416,520,500,2,0.9115384615384616,0.9115371529164632,0.9115384615384616,0.9651479289940827,0.2440040369929081,8.758607149124146,10.78991198539734,ok,,2080,1664,0,520,,True,0.1,False,0,1e-05,False,6.374664545059204,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2600>=2000 | TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 410.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 170.00 MiB is free. Process 6168 has 23.32 GiB memory in use. Of the allocated memory 22.14 GiB is allocated by PyTorch, and 866.38 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 410.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 170.00 MiB is free. Process 6168 has 23.32 GiB memory in use. Of the allocated memory 22.14 GiB is allocated by PyTorch, and 866.38 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",f_mmd,test,tabicl_encoded_l2,,,,True
OpenML-ID-1486,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1486,binclass,27572,5515,6893,118,2,0.9747569998549253,0.9748063740596916,0.9710543893385658,0.9969306439082792,0.0640970123217061,10.601001501083374,67.43110466003418,ok,,27572,22057,0,6893,,True,0.1,False,0,1e-05,False,7.778995513916016,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=34465>=2000 | TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 298.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 84.00 MiB is free. Process 6168 has 23.41 GiB memory in use. Of the allocated memory 21.44 GiB is allocated by PyTorch, and 1.63 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 298.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 84.00 MiB is free. Process 6168 has 23.41 GiB memory in use. Of the allocated memory 21.44 GiB is allocated by PyTorch, and 1.63 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",f_mmd,test,tabicl_encoded_l2,,,,True
OpenML-ID-1487,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1487,binclass,2027,406,507,72,2,0.9546351084812624,0.9468295802699368,0.684342105263158,0.9490131578947368,0.121307317488181,13.00052547454834,1.631277322769165,ok,,2027,1621,0,507,0.1211229041218757,True,0.1,False,12,1e-05,True,12.636930465698242,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2534>=2000,30,1,epoch_chunk,accuracy,0.9408866995073892,0.9482758620689656,0.9408866995073892,0.9482758620689656,4,True,False,,f_mmd,test,tabicl_encoded_l2,173097.52331387403,456.54199145115984,,True
OpenML-ID-1489,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1489,binclass,4323,865,1081,5,2,0.9056429232192414,0.905466558506124,0.8843357226617339,0.9660470378383736,0.2167626826291524,6.0185136795043945,0.7924418449401855,ok,,4323,3458,0,1081,0.1823682934045791,True,0.1,False,11,1e-05,True,5.971242427825928,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=5404>=2000,30,1,epoch_chunk,accuracy,0.9260115606936417,0.9294797687861271,0.9260115606936417,0.9294797687861271,3,True,False,,f_mmd,test,tabicl_encoded_l2,2.9495142027793904,0.4519412211163621,,True
