dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage2_graph_scm_0134_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0134_seed42,multiclass,949,95,235,46,3,0.8595744680851064,0.8235546958951214,0.47008547008547,0.9159425472973859,0.30635903099730527,5.5809326171875,1.4129371643066406,ok,,949,854,0,235,0.23389964550733566,True,0.1,True,8,1e-05,True,5.46362042427063,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1184<2000,30,1,epoch_chunk,accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0135_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0135_seed42,multiclass,430,43,107,56,7,0.5233644859813084,0.4216510023905391,0.3122604140046001,0.751654596742469,1.3712263407575558,6.470019102096558,0.8378710746765137,ok,,430,387,0,107,1.594419002532959,True,0.1,True,11,1e-05,True,6.348675489425659,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=537<2000,30,1,epoch_chunk,accuracy,0.4186046511627907,0.4418604651162791,0.4186046511627907,0.4418604651162791,3,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0136_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0136_seed42,multiclass,414,42,110,54,10,0.4,0.3558167322873205,0.25922077922077924,0.7085189248526838,1.8819540741372138,5.774557113647461,0.807227373123169,ok,,414,372,0,110,1.508472740650177,True,0.1,True,10,1e-05,True,5.656145334243774,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=524<2000,30,1,epoch_chunk,accuracy,0.5238095238095238,0.5476190476190477,0.5238095238095238,0.5476190476190477,2,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0137_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0137_seed42,multiclass,5877,588,1404,72,6,0.9344729344729344,0.9344567726474771,0.9147145898410698,0.9964358670255944,0.17747384822293757,46.20111536979675,5.369576930999756,ok,,5877,5289,0,1404,0.18464214354753494,True,0.1,False,22,1e-05,True,45.689329385757446,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=7281>=2000,30,1,epoch_chunk,accuracy,0.9217687074829932,0.9455782312925171,0.9217687074829932,0.9455782312925171,14,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0138_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0138_seed42,multiclass,1555,156,386,49,4,0.3704663212435233,0.3615423141313991,0.3717868458088087,0.6360109925793692,1.3276235513891308,14.377526760101318,1.011620283126831,ok,,1555,1399,0,386,1.2897682785987854,True,0.1,True,20,1e-05,True,14.215458393096924,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1941<2000,30,1,epoch_chunk,accuracy,0.3974358974358974,0.4230769230769231,0.3974358974358974,0.4230769230769231,12,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0139_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0139_seed42,multiclass,902,91,219,8,4,1.0,1.0,1.0,1.0,5.005159224150357e-07,2.9597792625427246,0.6773581504821777,ok,,902,811,0,219,3.0994415283203125e-06,True,0.1,True,8,1e-05,True,2.9250118732452393,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1121<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0140_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0140_seed42,multiclass,7730,773,1935,49,10,0.8217054263565892,0.820088733659307,0.7835211894126928,0.9810371802894634,0.4715291742319062,30.171973943710327,5.707562208175659,ok,,7730,6957,0,1935,0.5008518993854523,True,0.1,False,15,1e-05,True,29.726205110549927,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=9665>=2000,30,1,epoch_chunk,accuracy,0.815006468305304,0.8188874514877102,0.815006468305304,0.8188874514877102,7,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0141_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0141_seed42,multiclass,1485,149,368,73,4,0.9429347826086957,0.9419481802027536,0.9110237118103055,0.9944847862520543,0.10485561594061585,8.0197172164917,1.2445123195648193,ok,,1485,1336,0,368,0.12788692861795425,True,0.1,True,8,1e-05,True,7.804555654525757,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1853<2000,30,1,epoch_chunk,accuracy,0.9664429530201343,0.9664429530201343,0.9664429530201343,0.9664429530201343,0,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0142_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0142_seed42,multiclass,3119,312,762,80,4,0.9566929133858267,0.956865440005421,0.9560330028118987,0.993620873053693,0.1304532038986977,23.36572527885437,2.9128835201263428,ok,,3119,2807,0,762,0.11389121040701866,True,0.1,False,16,1e-05,True,22.983487367630005,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=3881>=2000,30,1,epoch_chunk,accuracy,0.9647435897435898,0.967948717948718,0.9647435897435898,0.967948717948718,8,True,False,,random,none,standardized_l2,,,,True
stage2_graph_scm_0143_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage2_graph_scm_0143_seed42,multiclass,2044,205,488,24,3,0.9938524590163934,0.9938593935441374,0.9940400170285227,0.9999443561412947,0.011242467378721043,4.7035369873046875,0.856529951095581,ok,,2044,1839,0,488,0.03783099353313446,True,0.1,False,8,1e-05,True,4.608988046646118,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft_skipped rows=2532>=2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
