dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.94537686908758,0.9320036963493432,0.5908572527319923,0.8343443752470278,0.1664131673589997,54.34626317024231,13.06270694732666,ok,,26215,20972,0,6554,0.2081557586789131,30,1e-05,True,54.06634688377381,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9492656875834444,0.9498378790768645,0.9492656875834444,0.9498378790768645,2,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9878079756159512,0.987822749114498,0.9877226855231762,0.9991563741670676,0.0332419545541605,57.58975648880005,20.70440649986267,ok,,31492,25193,0,7874,0.0389279555529356,45,1e-05,True,57.28478026390076,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.98714081600254,0.9877758374345134,0.98714081600254,0.9877758374345134,7,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8154686309372619,0.8134834015788601,0.7867896628646982,0.883510471231577,0.4048680838229965,43.40734124183655,20.82328677177429,ok,,31492,25193,0,7874,0.4548132717609405,30,1e-05,True,43.01464796066284,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8067947293221146,0.8115573900619146,0.8067947293221146,0.8115573900619146,2,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,0.7112085072156479,0.6905858729033783,0.7444483817623434,0.5764963433263041,8.128443241119385,0.5350906848907471,ok,,1072,857,0,268,0.6221247613430023,13,1e-05,True,8.088452339172363,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7441860465116279,0.7534883720930232,0.7441860465116279,0.7534883720930232,5,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7342857142857143,0.7338927520794118,0.7342638315963532,0.8017108332117007,0.542989511507141,84.58151030540466,57.07641434669495,ok,,56000,44800,0,14000,0.5370074212551117,55,1e-05,True,83.69181251525879,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7319642857142857,0.7327678571428572,0.7319642857142857,0.7327678571428572,3,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9770833333333332,0.97708960094233,0.9776835372636264,0.9958634593993326,0.0678930613169642,8.22763466835022,1.1422383785247805,ok,,1920,1536,0,480,0.1089726500213146,10,1e-05,True,8.133817672729492,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9661458333333334,0.96875,0.9661458333333334,0.96875,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666668,0.960427492536752,0.9609983314794216,0.992456896551724,0.107919092219285,7.7137157917022705,1.0157155990600586,ok,,1920,1536,0,480,0.120302740484476,10,1e-05,True,7.6219072341918945,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9817708333333334,0.984375,0.9817708333333334,0.984375,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9625,0.9625097698653928,0.9628754171301446,0.9935692436040044,0.1010190089248437,11.31303334236145,1.1209096908569336,ok,,1920,1536,0,480,0.1216973848640918,14,1e-05,True,11.218191623687744,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9401041666666666,0.9635416666666666,0.9401041666666666,0.9635416666666666,6,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data200/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8973214285714286,0.8886775692419826,0.7305206252203549,0.912896149175383,0.2455300945002468,9.522013664245604,0.9612765312194824,ok,,1792,1433,0,448,0.2720285207033157,12,1e-05,True,9.440605878829956,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8857938718662952,0.8941504178272981,0.8857938718662952,0.8941504178272981,4,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data200/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6777272727272727,0.6656176287255932,0.7279958201353046,0.7257564842426485,0.503982834597473,15.8124737739563,3.3029544353485107,ok,,8799,7039,0,2200,0.4880540668964386,11,1e-05,True,15.682018041610718,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6835227272727272,0.6857954545454545,0.6835227272727272,0.6857954545454545,3,True,False,
