dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_col_attn_enabled,ttt_col_attn_ratio,ttt_col_attn_random_ratio,ttt_col_attn_score_mean,ttt_col_attn_score_std,ttt_col_attn_selected_attention_count,ttt_col_attn_selected_random_count,ttt_col_attn_fallback_reason,ttt_col_attn_label_coverage_ok
Basketball_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.7002842928216062,0.6796598157335223,0.7423222300968579,0.5794081302706908,10.868090867996216,0.41520166397094727,ok,,1072,857,0,268,0.5656314492225647,12,1e-05,True,10.823724746704102,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7767441860465116,0.7581395348837209,0.7767441860465116,4,True,False,,True,0.6,0.4,0.9968710504544873,0.004469914995834503,1236,816,,True
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,0.7463613140854275,0.8324719301372304,0.5055841236308091,6.010019063949585,0.6147630214691162,ok,,1467,1173,0,367,0.46881477534770966,11,1e-05,True,5.96632719039917,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7244897959183674,0.7108843537414966,0.7244897959183674,3,True,False,,True,0.6,0.4,0.9928411437775984,0.007503139648669266,1540,1034,,True
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.784741144414169,0.7846130455958218,0.7841388740265145,0.8563700136733844,0.4745525020172188,6.75162935256958,0.5045783519744873,ok,,1465,1172,0,367,0.5237170457839966,13,1e-05,True,6.710102558135986,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7508532423208191,0.7610921501706485,0.7508532423208191,0.7610921501706485,5,True,False,,True,0.6,0.4,0.9919708433862896,0.00737413085523594,1820,1222,,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Fitness_Club_c,binclass,1200,240,300,6,2,0.7966666666666666,0.792733543259859,0.7423891897576108,0.8227036121772964,0.45696902247937393,9.507561922073364,0.359100341796875,ok,,1200,960,0,300,0.5452957153320312,19,1e-05,True,9.457265853881836,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7666666666666667,0.7791666666666667,0.7666666666666667,0.7791666666666667,11,True,False,,True,0.6,0.4,0.997771684946329,0.0019315108842398365,2185,1463,,True
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.6842238962003302,0.684375,0.7625585937500001,0.5614689531317738,8.600989818572998,0.5715732574462891,ok,,1280,1024,0,320,0.4970479756593704,13,1e-05,True,8.497981548309326,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.671875,0.67578125,0.671875,0.67578125,5,True,False,,True,0.6,0.4,0.9991426535321577,0.0011451960712902502,1586,1066,,True
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.49836065573770494,0.7392622950819672,0.32511107072890744,4.896677732467651,0.5659275054931641,ok,,1378,1102,0,345,0.6303558051586151,8,1e-05,True,4.805033445358276,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0,True,False,,True,0.6,0.4,0.9981722501868552,0.0016460917814854407,1056,704,,True
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Performance-Prediction,binclass,1072,215,268,19,2,0.746268656716418,0.7391015545585111,0.7067718606180144,0.8073336919490766,0.5237281248945164,5.336836814880371,0.44141626358032227,ok,,1072,857,0,268,0.5264728367328644,8,1e-05,True,5.29098916053772,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.6976744186046512,0,True,False,,True,0.6,0.4,0.9961231530409808,0.005485712451108455,824,544,,True
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7179459691252145,0.675,0.8605555555555555,0.46476694536537067,4.548439264297485,0.6085526943206787,ok,,614,491,0,154,0.5241571366786957,11,1e-05,True,4.506741285324097,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7723577235772358,0.7886178861788617,0.7723577235772358,0.7886178861788617,3,True,False,,True,0.6,0.4,0.9974541501012494,0.0029799531516699635,649,429,,True
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/QSAR_biodegradation,binclass,843,169,211,41,2,0.8862559241706162,0.8844403574544338,0.8587525150905433,0.9513078470824949,0.2716344053379011,11.32705020904541,1.3023104667663574,ok,,843,674,0,211,0.2582544982433319,13,1e-05,True,11.173075199127197,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.863905325443787,0.8698224852071006,0.863905325443787,0.8698224852071006,5,True,False,,True,0.6,0.4,0.9982999431142577,0.0023313347085737244,1040,702,,True
Waterstress,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Waterstress,binclass,950,190,238,22,2,0.8067226890756303,0.8066544414375919,0.8079179922234005,0.8924001413927183,0.41586681992780655,7.075451135635376,0.9701361656188965,ok,,950,760,0,238,0.4429842233657837,11,1e-05,True,7.017422914505005,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7947368421052632,0.8,0.7947368421052632,0.8,3,True,False,,True,0.6,0.4,0.9943077193849394,0.010443770033039456,1001,671,,True
