dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,model_family,peft_method,peft_targets,peft_trainable_params,peft_trainable_ratio,peft_rank
OpenML-ID-469,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-469,multiclass,637,128,160,4,6,0.20625,0.176916148544438,0.2055356431700517,0.537149259188927,1.7798916905754965,5.255558252334595,1.7728025913238523,ok,,637,509,0,160,,30,1e-05,True,5.2551658153533936,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.1875,0.1875,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-54,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-54,multiclass,676,136,170,18,4,0.9,0.8984333429859463,0.9004329004329005,0.9745938740079364,0.2600738563162426,6.86592960357666,1.7719831466674805,ok,,676,540,0,170,,30,1e-05,True,6.865461826324463,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9044117647058824,0.9117647058823528,,,3,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-6332,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-6332,binclass,432,87,108,37,2,0.8518518518518519,0.8513815402704291,0.8457223001402525,0.9298737727910238,0.3347211275709912,6.151841402053833,1.7689907550811768,ok,,432,345,0,108,,30,1e-05,True,6.151490211486816,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.735632183908046,0.735632183908046,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.8945686900958466,0.8670690747212215,0.5536032028469751,0.8405249110320284,0.2608145074802987,11.861324310302734,1.7315301895141602,ok,,1250,1000,0,313,,30,1e-05,True,8.023152589797974,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9,0.9,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8095238095238095,0.7869238604532722,0.6289704271631983,0.7565717415115006,0.4893938844683658,5.053812503814697,1.692493915557861,ok,,417,333,0,105,,30,1e-05,True,5.053514003753662,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.8571428571428571,0.8571428571428571,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.9324324324324323,0.9186724718639612,0.5927536231884059,0.9061191626409018,0.1603543300607176,5.127955436706543,1.715635061264038,ok,,887,709,0,222,,30,1e-05,True,5.127630472183228,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9606741573033708,0.9606741573033708,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.98,0.9799656196280668,0.98,0.9995277777777778,0.092297110524939,13.53446912765503,4.258715152740479,ok,,1600,1280,0,400,,30,1e-05,True,13.534152746200562,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.98125,0.98125,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9127501935198497,0.91022610802578,0.7620075685388363,0.9413772041860152,0.1876172961033983,60.04596400260925,39.10875654220581,ok,,36168,28934,0,9043,,90,1e-05,True,60.04525828361511,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,acc,0.9151230301354714,0.9151230301354714,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1464,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1464,binclass,598,120,150,4,2,0.78,0.732358926919519,0.5796783625730995,0.7809454191033138,0.4619668404887602,5.121209859848023,1.7241733074188232,ok,,598,478,0,150,,30,1e-05,True,5.120629549026489,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.8,0.8,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1475,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1475,multiclass,4894,979,1224,51,6,0.6258169934640523,0.6047208399445696,0.4889558879034679,0.8455047657645968,1.0670437716444223,15.992675065994264,3.82666540145874,ok,,4894,3915,0,1224,,30,1e-05,True,15.992276906967165,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.6200204290091931,0.6220633299284984,,,5,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1480,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1480,binclass,466,94,117,10,2,0.7094017094017094,0.6485012063959433,0.5434089298369951,0.7087172218284904,0.5340830069178587,6.292482137680054,1.7335515022277832,ok,,466,372,0,117,,30,1e-05,True,6.292172431945801,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.7127659574468085,0.723404255319149,,,2,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
