dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage3_graph_scm_0087_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0087_seed42,multiclass,2684,0,667,29,10,0.512743628185907,0.4180898343063719,0.3176952809417313,0.8131189051387337,1.444888284602256,11.361847400665283,0.803870677947998,ok,,2684,2684,0,667,,30,1e-05,True,11.361487865447998,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,1,tabpfn_finetuning_api_f_mmd,acc,0.5149253731343284,0.5410447761194029,,,2,True,False,,f_mmd,test,standardized_l2,0.2290415756,3.329559439106701,1.4471768538651288,,True
stage3_graph_scm_0088_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0088_seed42,binclass,1080,0,272,46,2,0.9080882352941176,0.9076285670257624,0.901343548745281,0.9783477681545636,0.1939592106685032,19.33091235160828,0.471193790435791,ok,,1080,1080,0,272,,30,1e-05,True,19.33048748970032,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9074074074074074,0.9351851851851852,,,11,True,False,,f_mmd,test,standardized_l2,0.2290415756,2.023068220101328,0.4057227018756124,,True
stage3_graph_scm_0089_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0089_seed42,multiclass,449,0,113,73,6,0.4778761061946903,0.4516485249336082,0.4840043149220023,0.8280185714307634,1.2669341283722204,13.52277660369873,0.4612784385681152,ok,,449,449,0,113,,30,1e-05,True,13.521583080291748,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,1,tabpfn_finetuning_api_f_mmd,acc,0.4318181818181818,0.5,,,5,True,False,,f_mmd,test,standardized_l2,0.2290415756,1.921469427181804,0.8231586570487953,,True
stage3_graph_scm_0090_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0090_seed42,multiclass,14634,0,3706,77,8,0.960604425256341,0.9590527344118578,0.9408332869882234,0.9984875504050208,0.0654019400872934,62.92141771316528,5.915416955947876,ok,,14634,14634,0,3706,,60,1e-05,True,62.92105174064636,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,2,tabpfn_finetuning_api_f_mmd,acc,0.9569377990430622,0.9603554340396444,,,2,True,False,,f_mmd,test,standardized_l2,0.2290415756,2.605292108652508,1.4523658003644224,,True
stage3_graph_scm_0091_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0091_seed42,multiclass,909,0,223,63,7,0.6143497757847534,0.573802919856884,0.4320707333357497,0.882071687951969,0.9402801820948308,8.248724222183228,0.4349496364593506,ok,,909,909,0,223,,30,1e-05,True,8.248287677764893,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6888888888888889,0.6888888888888889,,,0,True,False,,f_mmd,test,standardized_l2,0.2290415756,1.9339598719760789,0.3348612726919892,,True
stage3_graph_scm_0092_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0092_seed42,multiclass,23068,0,5929,40,6,0.9993253499747006,0.9993257962052946,0.9990890012972335,0.9999995393687212,0.0018121574922274,101.63898777961732,8.015823125839233,ok,,23068,23068,0,5929,,90,1e-05,True,101.63856196403503,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,3,tabpfn_finetuning_api_f_mmd,acc,0.9978317432784042,0.9986990459670424,,,7,True,False,,f_mmd,test,standardized_l2,0.2290415756,3.410959587141656,11.608555600082392,,True
stage3_graph_scm_0093_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0093_seed42,binclass,1233,0,327,20,2,0.6024464831804281,0.6025134113819129,0.6026504941599281,0.629492362982929,0.6799466596344811,16.93821930885315,0.4478867053985595,ok,,1233,1233,0,327,,30,1e-05,True,16.93779993057251,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,1,tabpfn_finetuning_api_f_mmd,acc,0.6016260162601627,0.6829268292682927,,,10,True,False,,f_mmd,test,standardized_l2,0.2290415756,1.6190727486875216,0.165095943273851,,True
stage3_graph_scm_0094_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0094_seed42,multiclass,4085,0,975,51,8,0.9958974358974358,0.9959042376428194,0.9969190557032508,0.9999504138958696,0.0253474729197622,21.54367423057556,1.3972749710083008,ok,,4085,4085,0,975,,30,1e-05,True,21.54331970214844,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,1,tabpfn_finetuning_api_f_mmd,acc,0.982843137254902,0.9852941176470588,,,6,True,False,,f_mmd,test,standardized_l2,0.2290415756,2.2443508044056086,0.8931286160890715,,True
stage3_graph_scm_0095_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0095_seed42,multiclass,541,0,141,96,4,0.8581560283687943,0.8557894451328092,0.7896688224799286,0.9804985031037032,0.2952065929513608,13.313482999801636,0.4491684436798095,ok,,541,541,0,141,,30,1e-05,True,13.313122034072876,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,1,tabpfn_finetuning_api_f_mmd,acc,0.8333333333333334,0.8518518518518519,,,5,True,False,,f_mmd,test,standardized_l2,0.2290415756,4.679453173554805,1.181486523073037,,True
stage3_graph_scm_0096_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0096_seed42,multiclass,4719,0,1120,80,4,0.9892857142857144,0.9891232446415372,0.944517691944088,0.999546075548837,0.0266435746481342,17.78682231903076,2.098385095596313,ok,,4719,4719,0,1120,,30,1e-05,True,17.786456823349,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,1,tabpfn_finetuning_api_f_mmd,acc,0.9936305732484076,0.9936305732484076,,,0,True,False,,f_mmd,test,standardized_l2,0.2290415756,4.151763979583303,3.1182099151062648,,True
stage3_graph_scm_0097_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0097_seed42,multiclass,24590,0,6009,7,4,1.0,1.0,1.0,1.0,3.914547682044492e-05,37.3910493850708,6.363925457000732,ok,,24590,24590,0,6009,,90,1e-05,True,37.390687704086304,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,3,tabpfn_finetuning_api_f_mmd,acc,0.9991866612444082,0.9991866612444082,,,0,True,False,,f_mmd,test,standardized_l2,0.2290415756,2.0606276297681787,0.398223766128074,,True
stage3_graph_scm_0098_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage3_graph_scm_0098_seed42,multiclass,45963,0,11931,14,7,0.4956835135361663,0.368746516409038,0.171606008794309,0.642358284523766,1.4646912051348897,93.33027815818788,20.167665481567383,ok,,45963,45963,0,11931,,150,1e-05,True,93.32990884780884,tabpfn_finetune_epoch_chunks_f_mmd,internal validation_split_ratio=0.1 | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.2290415756,30,5,tabpfn_finetuning_api_f_mmd,acc,0.5058746736292428,0.5058746736292428,,,0,True,False,,f_mmd,test,standardized_l2,0.2290415756,1.8750106357859464,0.5199113416031027,,True
