dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9458346048214831,0.9306582341653271,0.5787172721737366,0.828064691869719,0.16993808236126162,227.95784401893616,5.271047592163086,ok,,26215,20972,0,6554,,90,1e-05,True,221.68599200248718,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,21,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9473583826053786,0.9496471485790577,,,6,True,False,,f_mmd,test,standardized_l2,0.05,3.2922865285865734,0.5375259991056084,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9875539751079502,0.987570117518662,0.9875290746809691,0.9991083466713265,0.03479279087720773,242.82188844680786,7.296665191650391,ok,,31492,25193,0,7874,,90,1e-05,True,242.82144284248352,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,26,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9868233052865534,0.9872995713605334,,,5,True,False,,f_mmd,test,standardized_l2,0.05,4.256595768111833,0.7721378163839929,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8021336042672086,0.7929656773540283,0.749156266750024,0.8774511216906793,0.422472159878515,158.91679668426514,7.33631706237793,ok,,31492,25193,0,7874,,90,1e-05,True,158.9163269996643,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,26,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.8094935704080013,0.8094935704080013,,,0,True,False,,f_mmd,test,standardized_l2,0.05,1.8406682386607973,0.11415300295813036,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,0.7105483766648094,0.6886959603118357,0.7368296716276872,0.5783502929757435,12.564399242401123,0.465717077255249,ok,,1072,857,0,268,,30,1e-05,True,12.563851356506348,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,1,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7627906976744186,0.7674418604651163,,,5,True,False,,f_mmd,test,standardized_l2,0.05,4.580026916701444,1.8472818550739765,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.6935,0.6913555377157791,0.6935476958523088,0.7699662208052966,0.5906284122978109,303.90299129486084,19.545100450515747,ok,,56000,44800,0,14000,,150,1e-05,True,303.9025123119354,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,45,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7340178571428572,0.7340178571428572,,,0,True,False,,f_mmd,test,standardized_l2,0.05,28.66852511947049,22.517459905422427,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708394101442229,0.9716351501668521,0.9907709955506119,0.10466326330207483,8.332930326461792,0.46629953384399414,ok,,1920,1536,0,480,,30,1e-05,True,8.332281589508057,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.96875,0.96875,,,0,True,False,,f_mmd,test,standardized_l2,0.05,3.4741110173005367,0.5011058777592458,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583449106233213,0.9588431590656286,0.9918833426028921,0.11571878527772878,8.217226505279541,0.4627878665924072,ok,,1920,1536,0,480,,30,1e-05,True,8.216797590255737,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9791666666666666,0.9791666666666666,,,0,True,False,,f_mmd,test,standardized_l2,0.05,2.770015941600811,0.30983852566391185,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9520833333333333,0.9520964383339628,0.9526557285873192,0.9925264182424917,0.11085395342726846,10.626794338226318,0.4626774787902832,ok,,1920,1536,0,480,,30,1e-05,True,10.62634015083313,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.9479166666666666,0.9557291666666666,,,2,True,False,,f_mmd,test,standardized_l2,0.05,3.064720688473775,0.24268387939460082,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8973214285714286,0.8844566891441892,0.7059192227837192,0.8978140792102478,0.2610446573737617,8.809170246124268,0.47052669525146484,ok,,1792,1433,0,448,,30,1e-05,True,8.808696985244751,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,2,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.883008356545961,0.883008356545961,,,0,True,False,,f_mmd,test,standardized_l2,0.05,4.669495286517383,1.1691989332092023,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6777272727272727,0.6657480172844104,0.7278129295888569,0.7329922524816872,0.503971198781586,58.68880486488342,1.238412857055664,ok,,8799,7039,0,2200,,30,1e-05,True,58.68843364715576,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,8,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.6835227272727272,0.6857954545454545,,,3,True,False,,f_mmd,test,standardized_l2,0.05,2.453454175753887,0.4152366514204146,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7427848101265823,0.7425060840606664,0.7416026033470431,0.8217563964023191,0.5185818337417272,53.82664251327515,1.4160284996032715,ok,,7896,6316,0,1975,,30,1e-05,True,53.8262414932251,tabpfn_finetune_epoch_chunks_f_mmd,dataset_val_split | c_selection=f_mmd | c_source=test | c_metric=standardized_l2 | c_reserve_ratio=0.05,30,7,tabpfn_finetuning_api_f_mmd_grad_accum10,acc,0.7430379746835443,0.7455696202531645,,,3,True,False,,f_mmd,test,standardized_l2,0.05,4.388408920887234,3.237580346660799,,True
